window_idx,start,target,source,alpha,lam_u_mean,lam_u_floor_share
0,2025-01-31,searches,searches,0.0759908406750777,0.8367337333346742,0.009457493244647683
0,2025-01-31,searches,to_cart,0.02178608892949992,0.8367337333346742,0.009457493244647683
0,2025-01-31,searches,to_ord,0.0,0.8367337333346742,0.009457493244647683
0,2025-01-31,to_cart,searches,0.010583969432598069,0.8093987219701579,0.07971315734774476
0,2025-01-31,to_cart,to_cart,0.0459027765628259,0.8093987219701579,0.07971315734774476
0,2025-01-31,to_cart,to_ord,0.0,0.8093987219701579,0.07971315734774476
0,2025-01-31,to_ord,searches,0.0025085085476794517,0.9308183679882556,0.22718769486593224
0,2025-01-31,to_ord,to_cart,0.0037471105778135796,0.9308183679882556,0.22718769486593224
0,2025-01-31,to_ord,to_ord,0.0,0.9308183679882556,0.22718769486593224
1,2025-02-01,searches,searches,0.07548156590331258,0.8363515654462205,0.009556455801391918
1,2025-02-01,searches,to_cart,0.02244848167620354,0.8363515654462205,0.009556455801391918
1,2025-02-01,searches,to_ord,0.0,0.8363515654462205,0.009556455801391918
1,2025-02-01,to_cart,searches,0.010467557424011358,0.8416493341908527,0.08102212527267061
1,2025-02-01,to_cart,to_cart,0.037067010716449626,0.8416493341908527,0.08102212527267061
1,2025-02-01,to_cart,to_ord,0.0,0.8416493341908527,0.08102212527267061
1,2025-02-01,to_ord,searches,0.003090611723112743,0.8628504303707349,0.2339254180949413
1,2025-02-01,to_ord,to_cart,0.004358596643725455,0.8628504303707349,0.2339254180949413
1,2025-02-01,to_ord,to_ord,0.0,0.8628504303707349,0.2339254180949413
2,2025-02-22,searches,searches,0.0844873805898205,0.817091791647977,0.011009363103199919
2,2025-02-22,searches,to_cart,0.016723000625853014,0.817091791647977,0.011009363103199919
2,2025-02-22,searches,to_ord,0.0,0.817091791647977,0.011009363103199919
2,2025-02-22,to_cart,searches,0.011901490121062543,0.8199594924097764,0.0772713242103097
2,2025-02-22,to_cart,to_cart,0.04130155275077423,0.8199594924097764,0.0772713242103097
2,2025-02-22,to_cart,to_ord,0.0,0.8199594924097764,0.0772713242103097
2,2025-02-22,to_ord,searches,0.0028406523571817346,0.960982587736205,0.21710052474534416
2,2025-02-22,to_ord,to_cart,0.002716050293715797,0.960982587736205,0.21710052474534416
2,2025-02-22,to_ord,to_ord,0.0,0.960982587736205,0.21710052474534416
3,2025-04-05,searches,searches,0.08033281284798197,0.830626460724429,0.011985779583544947
3,2025-04-05,searches,to_cart,0.01949946071308531,0.830626460724429,0.011985779583544947
3,2025-04-05,searches,to_ord,0.0,0.830626460724429,0.011985779583544947
3,2025-04-05,to_cart,searches,0.011291727513463216,0.8629753063156714,0.0755713560182834
3,2025-04-05,to_cart,to_cart,0.031230559485732366,0.8629753063156714,0.0755713560182834
3,2025-04-05,to_cart,to_ord,0.0,0.8629753063156714,0.0755713560182834
3,2025-04-05,to_ord,searches,0.002519663834388645,0.9678428754817765,0.19644489588623668
3,2025-04-05,to_ord,to_cart,0.0027035087259249324,0.9678428754817765,0.19644489588623668
3,2025-04-05,to_ord,to_ord,0.0,0.9678428754817765,0.19644489588623668
4,2025-04-06,searches,searches,0.08052990651575968,0.8300404324928535,0.011572429195005583
4,2025-04-06,searches,to_cart,0.019807090664461596,0.8300404324928535,0.011572429195005583
4,2025-04-06,searches,to_ord,0.0,0.8300404324928535,0.011572429195005583
4,2025-04-06,to_cart,searches,0.011549941509256426,0.8337173141853577,0.07471322708354482
4,2025-04-06,to_cart,to_cart,0.03807125818258649,0.8337173141853577,0.07471322708354482
4,2025-04-06,to_cart,to_ord,0.0,0.8337173141853577,0.07471322708354482
4,2025-04-06,to_ord,searches,0.0028839944672092417,0.9331348710242673,0.21327783981321694
4,2025-04-06,to_ord,to_cart,0.0030086505952958077,0.9331348710242673,0.21327783981321694
4,2025-04-06,to_ord,to_ord,0.0,0.9331348710242673,0.21327783981321694
5,2025-05-15,searches,searches,0.08360920263240414,0.8219891333292286,0.009479628882613958
5,2025-05-15,searches,to_cart,0.022370723630900397,0.8219891333292286,0.009479628882613958
5,2025-05-15,searches,to_ord,0.0,0.8219891333292286,0.009479628882613958
5,2025-05-15,to_cart,searches,0.011817399159392696,0.8395451519378943,0.06867688584106495
5,2025-05-15,to_cart,to_cart,0.04115284920472255,0.8395451519378943,0.06867688584106495
5,2025-05-15,to_cart,to_ord,0.0,0.8395451519378943,0.06867688584106495
5,2025-05-15,to_ord,searches,0.0041880068906846694,0.8588362549890429,0.20270270270270271
5,2025-05-15,to_ord,to_cart,0.0037845274182495307,0.8588362549890429,0.20270270270270271
5,2025-05-15,to_ord,to_ord,0.0,0.8588362549890429,0.20270270270270271
6,2025-05-26,searches,searches,0.08814519889100733,0.8147493503319315,0.008454957221942627
6,2025-05-26,searches,to_cart,0.02201362852353235,0.8147493503319315,0.008454957221942627
6,2025-05-26,searches,to_ord,0.0,0.8147493503319315,0.008454957221942627
6,2025-05-26,to_cart,searches,0.013766459754494385,0.8193907898380587,0.06914947156517363
6,2025-05-26,to_cart,to_cart,0.040064732217972694,0.8193907898380587,0.06914947156517363
6,2025-05-26,to_cart,to_ord,0.0,0.8193907898380587,0.06914947156517363
6,2025-05-26,to_ord,searches,0.004242364940478906,0.864790531664507,0.18661298439859084
6,2025-05-26,to_ord,to_cart,0.005207685521811573,0.864790531664507,0.18661298439859084
6,2025-05-26,to_ord,to_ord,0.0,0.864790531664507,0.18661298439859084
7,2025-06-05,searches,searches,0.08803615455905141,0.8146558105963798,0.009351432880844645
7,2025-06-05,searches,to_cart,0.024929507628917123,0.8146558105963798,0.009351432880844645
7,2025-06-05,searches,to_ord,0.0,0.8146558105963798,0.009351432880844645
7,2025-06-05,to_cart,searches,0.013445200215578042,0.8366784254751042,0.06294620412267471
7,2025-06-05,to_cart,to_cart,0.03987972920437228,0.8366784254751042,0.06294620412267471
7,2025-06-05,to_cart,to_ord,0.0,0.8366784254751042,0.06294620412267471
7,2025-06-05,to_ord,searches,0.004137238687731451,0.9206903509678578,0.18270487682252387
7,2025-06-05,to_ord,to_cart,0.0035407899970083703,0.9206903509678578,0.18270487682252387
7,2025-06-05,to_ord,to_ord,0.0,0.9206903509678578,0.18270487682252387
8,2025-06-24,searches,searches,0.08843049853506077,0.8229746855876426,0.008139067524115756
8,2025-06-24,searches,to_cart,0.025323870416199063,0.8229746855876426,0.008139067524115756
8,2025-06-24,searches,to_ord,0.0,0.8229746855876426,0.008139067524115756
8,2025-06-24,to_cart,searches,0.012868103983804767,0.8186418581437598,0.058681672025723476
8,2025-06-24,to_cart,to_cart,0.049392969240569594,0.8186418581437598,0.058681672025723476
8,2025-06-24,to_cart,to_ord,0.0,0.8186418581437598,0.058681672025723476
8,2025-06-24,to_ord,searches,0.004513507981655736,0.8673254253191384,0.17514067524115756
8,2025-06-24,to_ord,to_cart,0.004990073116657987,0.8673254253191384,0.17514067524115756
8,2025-06-24,to_ord,to_ord,0.002054070176034752,0.8673254253191384,0.17514067524115756
9,2025-07-21,searches,searches,0.09803074502863295,0.7881082672367969,0.0057320997586484315
