,searches,to_cart,to_ord
searches,0.0843074306178109,0.02207606109834852,0.0
to_cart,0.01215330410782512,0.0413859141788248,0.0
to_ord,0.0035116206965249844,0.003976825375775472,0.00020540701760347522
