,searches,to_cart,to_ord
searches,0.006762721594819246,0.0028626925402060865,0.0
to_cart,0.0012569065752338813,0.00569684314773496,0.0
to_ord,0.000806961770396034,0.0010605988459336745,0.0006495540230092827
