block_idx,block_label,block_start,block_end,test_rows,test_target_mean,Global Poisson,Rolling Poisson,Rolling Seasonal,Personalized Gamma-Poisson,Scaled-baseline Hawkes,GBDT (experimental)
0,2025-01-15..2025-02-04,2025-01-15,2025-02-04,63410,0.08512852862324555,0.3356762392707844,0.33556688344368235,0.33565201211086204,0.30334806808147124,0.3033480681205854,0.29062909058451997
1,2025-02-05..2025-02-25,2025-02-05,2025-02-25,65656,0.09811746070427683,0.37302297042539606,0.37302012072100793,0.37327127691238693,0.34561747309387725,0.34561747291217493,0.3210120569452457
2,2025-02-26..2025-03-18,2025-02-26,2025-03-18,66568,0.10481011897608461,0.3983075269182275,0.3985050952533083,0.39933788228744604,0.3575888537058479,0.3575888550747932,0.33297542708182454
3,2025-03-19..2025-04-08,2025-03-19,2025-04-08,67301,0.09411450052748102,0.3642266719669886,0.36422435224194427,0.3643149475189657,0.3261334696697034,0.32613346965609497,0.30324173846886704
4,2025-04-09..2025-04-29,2025-04-09,2025-04-29,67917,0.10269888245947259,0.38678477854167,0.3867497664687947,0.38680986578313326,0.35084816437616845,0.3508481644001412,0.3251705872188842
5,2025-04-30..2025-05-20,2025-04-30,2025-05-20,68426,0.10801449741326397,0.400287750063143,0.39994233302749166,0.3997806392198045,0.36993729549707843,0.36993729562002053,0.3419354041562902
6,2025-05-21..2025-06-10,2025-05-21,2025-06-10,68776,0.10573455856694196,0.3941367577855277,0.39413110416160324,0.39384671131329296,0.36380256480868217,0.3638025656666771,0.33670708823593837
7,2025-06-11..2025-07-01,2025-06-11,2025-07-01,68950,0.11202320522117476,0.41129457262981434,0.41134974956815146,0.4113376351444318,0.3752089888752014,0.37520898877482894,0.34602193065062636
8,2025-07-02..2025-07-22,2025-07-02,2025-07-22,69151,0.11720727104452575,0.42582640376535874,0.4257673004454052,0.42568486047079646,0.3970007457533599,0.39700074574746624,0.36408324759276167
9,2025-07-23..2025-08-12,2025-07-23,2025-08-12,69271,0.12241775057383321,0.4373097638120233,0.436952961910359,0.4369002348141934,0.40498365918124063,0.4049836593462223,0.37568794741149475
10,2025-08-13..2025-09-02,2025-08-13,2025-09-02,69226,0.12645537803715368,0.45136991993367703,0.4513873807300401,0.4514787500141836,0.417165827721627,0.4171658274978418,0.3870005745483594
11,2025-09-03..2025-09-23,2025-09-03,2025-09-23,68866,0.1295414282810095,0.4521178644914553,0.4520919044815678,0.45215894612069135,0.4215123001305136,0.4215123004900623,0.39067483636598965
12,2025-09-24..2025-10-14,2025-09-24,2025-10-14,67232,0.11922893860066634,0.42723315940446155,0.42845925806621077,0.4302546020412951,0.3961876234408096,0.3961876265752917,0.36993454388858155
