target,source,anchor_pin_val,pin_value,alpha_full,train_nll_mean,test_nll_mean,lam_u_mean,mean_baseline_train,mean_hawkes_train,mean_baseline_test,mean_hawkes_test,converged
searches,searches,0.13068969061496294,0.0,"[0.0, 0.18918404563534097, 0.0]",1.8895081226683472,2.1836448135116795,0.8804653783398448,1.0626498491945087,0.1415019887553217,1.1975525891108314,0.1680748478777954,True
searches,searches,0.13068969061496294,0.026138,"[0.026138, 0.15075746774498916, 0.0]",1.8769351358118087,2.1545306775932063,0.8435297503690811,1.017992909685358,0.17562110662491057,1.147546574650482,0.20504333650907144,True
searches,searches,0.13068969061496294,0.052276,"[0.052276, 0.11574667921748168, 0.0]",1.8680250667268494,2.1336463963113057,0.8098482413610777,0.9772520674313113,0.2122950963199143,1.1019299360366692,0.2450464799687428,True
searches,searches,0.13068969061496294,0.078414,"[0.078414, 0.08371035676256701, 0.0]",1.8620918935870279,2.117672543834656,0.7783018110106537,0.9391196411746338,0.25119386592880366,1.0591897917764501,0.28769219791713374,True
searches,searches,0.13068969061496294,0.104552,"[0.104552, 0.0543664600542989, 0.0]",1.8587246522472394,2.105627634704046,0.748769751152634,0.9033274469037377,0.2921064607334015,1.0191681734669849,0.3327299201504005,True
searches,searches,0.13068969061496294,0.13069,"[0.13069, 0.02787112121119093, 0.0]",1.8576507440790933,2.096783278980403,0.7203177548071773,0.8689724260747016,0.33514966122227424,0.980604137793336,0.3802983575306555,True
searches,searches,0.13068969061496294,0.156828,"[0.156828, 0.004912720742099417, 0.0]",1.8586764217436937,2.09106491810624,0.6928281200069606,0.8354349640893152,0.38083834808050515,0.9433222690658299,0.43100908091695045,True
searches,searches,0.13068969061496294,0.182966,"[0.182966, 0.0, 0.0]",1.8618426020829348,2.086659573814449,0.6592978925853676,0.7946421189459567,0.4400244710530527,0.8978201467701031,0.4977519430852434,True
searches,searches,0.13068969061496294,0.209104,"[0.209104, 0.0, 0.0]",1.8673395640300523,2.0852872219955554,0.6258594911460307,0.7539945588595431,0.5028851097749174,0.8524340195095181,0.5688593635259924,True
searches,searches,0.13068969061496294,0.235241,"[0.235241, 0.0, 0.0]",1.8749680303413023,2.0870939728284075,0.5946842622972729,0.71610465794001,0.5657433435446542,0.8101157460464681,0.6399640635053275,True
searches,searches,0.13068969061496294,0.261379,"[0.261379, 0.0, 0.0]",1.8845485038022103,2.091756903295638,0.5654344832761351,0.6805722963538033,0.6286039822665188,0.7704067306254987,0.7110714839460764,True
searches,to_cart,0.0279195445951976,0.0,"[0.13851795734142253, 0.0, 0.0]",1.8580282614684842,2.0974182506588317,0.7221827874587041,0.8712072775546882,0.33312905627553085,0.9831550404956023,0.37683275810200756,True
searches,to_cart,0.0279195445951976,0.01,"[0.13561254392137395, 0.01, 0.0]",1.8577998427660092,2.097130258324593,0.7216256364982943,0.8705419015863372,0.33362127027284305,0.9823913879728773,0.37781289078368546,True
