train_days,train_weeks,n_blocks,mean_nll,mean_delta_vs_personalized,mean_c,mean_alpha_norm,degenerate_share
14,2.0,13,0.37148731026870163,-6.480458050525875e-11,0.999999990083697,0.0,1.0
28,4.0,8,0.36537607150484597,-1.1987672382529624e-09,1.0000000211818931,0.0,1.0
42,6.0,5,0.3559650233084611,-0.0007240745990137575,0.9931481175940527,0.0006849198878466597,0.4
56,8.0,4,0.36396269870289677,-0.00265888667153813,0.9715781187641265,0.002174208835870041,0.0
84,12.0,3,0.3550027531680917,-0.004303221226493903,0.9317015461485473,0.007590238668816584,0.0
112,16.0,2,0.3367103532942989,-0.005337362253833494,0.905767862694592,0.011645784708622013,0.0
207,29.571428571428573,1,0.39580186040578025,-0.01378621194294588,0.8261703812940764,0.01610049296492457,0.0
