label,hl_1,hl_3
01-15..01-21,0.0026201056206119067,0.022014289205015934
01-22..01-28,0.005159044294883177,0.029760457312751253
01-29..02-04,0.005658859756603536,0.02309110314378504
02-05..02-11,0.01102983976302789,0.019576353897401658
02-12..02-18,0.005553957733710042,0.02468248516649057
02-19..02-25,0.01290851618152216,0.03312408998854749
02-26..03-04,0.02288038593352471,0.02488207008735309
03-05..03-11,0.06097322847895563,0.010943047246429378
03-12..03-18,0.007200036417065214,0.01693459168273656
03-19..03-25,0.016161983098362174,0.019524764247262735
03-26..04-01,0.007064063646939878,0.012887851683120195
04-02..04-08,0.0036692244595904334,0.013606846480064551
04-09..04-15,0.006592969842895842,0.005121399930414999
04-16..04-22,0.019042364984026162,0.0
04-23..04-29,0.028250565455345194,0.03898037939507601
04-30..05-06,0.006803632081845741,0.020378912882143108
05-07..05-13,0.007106459996008336,0.016296854102460234
05-14..05-20,0.012164408833828582,0.019618604755426036
05-21..05-27,0.016322636655831852,0.011214437374967707
05-28..06-03,0.014970457825685285,0.016009278542942824
06-04..06-10,0.020180893082186832,0.004516132289536423
06-11..06-17,0.037620204640505174,0.0
06-18..06-24,0.007305218070444887,0.012841816551382303
06-25..07-01,0.06325954588218728,0.008471486565708081
07-02..07-08,0.01648571914775242,0.01765906461294055
07-09..07-15,0.0070997703160033164,0.01613737420867148
07-16..07-22,0.012952022689074364,0.013199409382606778
07-23..07-29,0.01581793243182736,0.029543689627452525
07-30..08-05,0.017418426323887487,0.024265251852032682
