event_date,full_fit,frac_0_1,frac_0_3,frac_0_7
2025-08-10,0.01911189100247438,0.019771200831812212,0.019567117074560172,0.017676927096925657
2025-08-11,0.01975712931823796,0.02029453216773488,0.02017901034704376,0.01825304403616602
2025-08-12,0.020903576604671716,0.021280003229827964,0.0213045387332165,0.019283249533715272
2025-08-13,0.020892348601451036,0.021368911110668975,0.021314894603018653,0.01928935219703296
2025-08-14,0.02125966826940208,0.021755997841470625,0.021704972224316582,0.0196316160122563
2025-08-15,0.021148089521498156,0.021806843193839076,0.02163473531246232,0.019556450345941348
2025-08-16,0.020821540044533328,0.021594131650536447,0.021329457838607135,0.019273584413432413
2025-08-17,0.020151051125119286,0.020969235111988945,0.020651938167619618,0.01866064249124411
2025-08-18,0.020713049532259078,0.021321921504795435,0.021171618870861338,0.019142574606777544
2025-08-19,0.021733090889019775,0.022266710126550442,0.022192473126136238,0.02007255043029787
2025-08-20,0.02197536296682886,0.02255350737192986,0.0224464796907277,0.02030263791506747
2025-08-21,0.02221840022000135,0.022863094289074074,0.022719611505073015,0.020536863266499342
2025-08-22,0.02218788775292138,0.02294781445457971,0.022719984258990307,0.02052889660735599
2025-08-23,0.021517601056604992,0.02241452037382437,0.022071920668366163,0.019932143159663462
2025-08-24,0.021811622961876585,0.022660677833272587,0.022356407169997674,0.02019598482351734
2025-08-25,0.022166720175983184,0.022968430329260922,0.02270018806949854,0.020516029831964402
2025-08-26,0.02216501421817473,0.02296333066504465,0.02270412692246141,0.02051301266472732
2025-08-27,0.022843849247530995,0.023593831412552422,0.023396981273324662,0.021131980357774426
2025-08-28,0.0224511530030851,0.023192177979440523,0.02298243026591923,0.02076424071352487
2025-08-29,0.022181971492163978,0.02306983688644977,0.022754028067477974,0.020542432166806044
2025-08-30,0.02175507038141954,0.022735473194519174,0.022333834559784015,0.02016592961395222
2025-08-31,0.02114241089464482,0.02217176723117464,0.021711401214265902,0.019609622467637276
2025-09-01,0.021287036058512947,0.02218456495729986,0.021821426613469724,0.019722336216263087
2025-09-02,0.020409658545104556,0.02142931375483673,0.020965824538596422,0.018934544318056246
2025-09-03,0.0205698471305622,0.02146205629422631,0.021096309640013806,0.019062896861368143
2025-09-04,0.020884488357010213,0.02171136847618262,0.02140055330083387,0.019343840147283024
2025-09-05,0.020850213766359975,0.021631841573061146,0.021357633340007856,0.019303439602429046
2025-09-06,0.020210393598785768,0.02106849755641617,0.02071795803452928,0.018725695306133158
2025-09-07,0.01980087505314311,0.0206433468134078,0.020292938368851442,0.018345957456596264
2025-09-08,0.020212979196192117,0.020926015969595237,0.020681295126305874,0.01870647440177307
2025-09-09,0.02041985856060499,0.02105913473370603,0.020879305266646556,0.018884919394149224
2025-09-10,0.0204685489185927,0.021030459618127165,0.02090739099483701,0.018914444116175058
2025-09-11,0.020812984811188033,0.021365805507465616,0.021260914275274975,0.01923171783680343
2025-09-12,0.021485922630708715,0.02200887809304952,0.02194561200339084,0.019847003607260667
2025-09-13,0.021268661312277864,0.02190386351840166,0.02175421421815296,0.019664942115501096
2025-09-14,0.020796069182263382,0.021503626381013517,0.021294707450964373,0.019239343134413587
2025-09-15,0.021420093995569062,0.022047398811385597,0.02190367456156239,0.019802112265565122
2025-09-16,0.02160574522663091,0.022145234546376593,0.022072461855077535,0.0199564876978749
2025-09-17,0.021652959576437942,0.022274644015950747,0.02215255539138109,0.02001417117139166
2025-09-18,0.021472743437321494,0.02209368427872342,0.02196879644135259,0.019846350983105412
2025-09-19,0.021262506592195096,0.021953686241650013,0.021770236460736773,0.019664707171981675
2025-09-20,0.02096374424210965,0.021733565096193265,0.02148678897787274,0.01940357704821886
2025-09-21,0.020804592708517925,0.021502499882439654,0.021294406554377723,0.01924355537190997
2025-09-22,0.02146235992767915,0.022032944137672903,0.021923606767741566,0.019829213120600056
2025-09-23,0.0218957485567741,0.02249060379951472,0.022375418637875406,0.020234121998115598
2025-09-24,0.022117674782620653,0.022766384441042613,0.02261861220248838,0.020447663250611897
2025-09-25,0.022350338745133324,0.02297864840458115,0.0228406083820523,0.020657572871249388
2025-09-26,0.022336942925955783,0.022981312854854413,0.022828204816657465,0.02064711695723347
2025-09-27,0.02178577807940928,0.022478789983360815,0.02228302696870917,0.020144015928606655
2025-09-28,0.02166404323892834,0.022352664574902842,0.022149065871251955,0.02003047625760983
2025-09-29,0.022501265771342323,0.023032289176433584,0.02296326602307392,0.020776854979233778
2025-09-30,0.022596891948407898,0.02317558255364493,0.023077443591109296,0.020873327757569084
