setting_label,n,mean_nll,median_nll,mean_delta,mean_c,median_c,mean_alpha_norm,median_alpha_norm,degenerate_share
"A: default (1e-4, 10.0)",13,0.37148731076016933,0.36993729562002053,4.266630510435094e-10,1.00000000172639,0.9999999818426906,0.0,0.0,1.0
"B: alpha_l2=0, scale_l2=10.0",13,0.37148731071739294,0.3699372955600196,3.8388667885550593e-10,0.999999988458999,0.9999999829824207,0.0,0.0,1.0
"C: alpha_l2=1e-4, scale_l2=0.1",13,0.37148731046479677,0.36993729585179763,1.3129050837954118e-10,0.9999999342268648,0.9999999540860586,0.0,0.0,1.0
"D: alpha_l2=1e-4, scale_l2=0.0",13,0.37148731031071763,0.36993729561035593,-2.278859152664399e-11,0.999999985772451,0.9999999860849683,0.0,0.0,1.0
E: no regularization,13,0.37148731026870163,0.3699372950564848,-6.480458050525875e-11,0.999999990083697,0.9999999860849856,0.0,0.0,1.0
"F: warm-start from ch.6, no reg",13,0.3714873102412109,0.3699372943049386,-9.2295363659426e-11,0.9999999904890857,0.9999999960000697,0.0,0.0,1.0
