block_idx,block_label,setting_label,alpha_l2,scale_l2,personalized_nll,test_nll,learned_base_scale,alpha_l2_norm,fit_success,is_degenerate,delta_vs_personalized_nll,fit_seconds
7,2025-06-11..2025-07-01,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.3752089888752014,0.37520898877482894,0.9999998872658519,0.0,True,True,-1.0037243258764761e-10,0.21590900421142578
7,2025-06-11..2025-07-01,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.3752089888752014,0.3752089887401475,0.9999998483127729,0.0,True,True,-1.350538569866444e-10,0.2172081470489502
7,2025-06-11..2025-07-01,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.3752089888752014,0.37520898873965447,0.9999998477590099,0.0,True,True,-1.3554690703188044e-10,0.22002196311950684
7,2025-06-11..2025-07-01,E: no regularization,0.0,0.0,0.3752089888752014,0.37520898873965436,0.9999998477588347,0.0,True,True,-1.355470180541829e-10,0.21538591384887695
7,2025-06-11..2025-07-01,"F: warm-start from ch.6, no reg",0.0,0.0,0.3752089888752014,0.37520898887050685,0.9999999947273609,0.0,True,True,-4.694522548476243e-12,0.18955087661743164
8,2025-07-02..2025-07-22,"A: default (1e-4, 10.0)",0.0001,10.0,0.3970007457533599,0.39700074574746624,0.9999999981243474,0.0,True,True,-5.893674437373875e-12,0.21725106239318848
8,2025-07-02..2025-07-22,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.3970007457533599,0.3970007457799745,1.0000000084699001,0.0,True,True,2.661459941322164e-11,0.2223982810974121
8,2025-07-02..2025-07-22,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.3970007457533599,0.3970007459137314,1.0000000510370874,0.0,True,True,1.6037149386249894e-10,0.21912407875061035
8,2025-07-02..2025-07-22,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.3970007457533599,0.3970007459137315,1.0000000510371292,0.0,True,True,1.603716048848014e-10,0.2143101692199707
8,2025-07-02..2025-07-22,E: no regularization,0.0,0.0,0.3970007457533599,0.3970007459137341,1.000000051037948,0.0,True,True,1.6037415839775804e-10,0.21747803688049316
