target,source,anchor_pin_val,pin_value,alpha_full,train_nll_mean,test_nll_mean,lam_u_mean,mean_baseline_train,mean_hawkes_train,mean_baseline_test,mean_hawkes_test,converged
searches,searches,0.1339869348211659,0.0,"[0.0, 0.19378103977237454, 0.0036894636838193597]",1.889832987584968,2.180242499792047,0.8679858240394177,1.048845705742199,0.14569546552155327,1.1806378173580883,0.17310849577426302,True
searches,searches,0.1339869348211659,0.026797,"[0.026797, 0.15464799606400242, 0.0]",1.8769596549112462,2.150923350347137,0.8313197246892551,1.0044337689707177,0.18011592737625898,1.1309925767129185,0.21029254288751484,True
searches,searches,0.1339869348211659,0.053595,"[0.053595, 0.11824417816535072, 0.0]",1.8679205553541294,2.130012232402343,0.7980199665719081,0.9640571855401501,0.21733525603740905,1.0858905155295557,0.2508535960354151,True
searches,searches,0.1339869348211659,0.080392,"[0.080392, 0.08498419340696967, 0.0]",1.8619890213274377,2.114196165968925,0.766898688225753,0.9263072316822538,0.2569036393537633,1.0437254760507897,0.29420497226333553,True
searches,searches,0.1339869348211659,0.10719,"[0.10719, 0.05458899594098701, 0.0]",1.85872173088636,2.1024152241777294,0.7377019033088887,0.8908393733513883,0.2986171722594794,1.0041530719072822,0.3401042026438068,True
searches,searches,0.1339869348211659,0.133987,"[0.133987, 0.02719396082666505, 0.0]",1.857851756595288,2.0939859432661727,0.7097018246322983,0.8568473515028198,0.34257229990090143,0.9661960529922528,0.3886661161341358,True
searches,searches,0.1339869348211659,0.160784,"[0.160784, 0.00359255801813774, 0.0]",1.8591610886579468,2.0885662020558327,0.6826138875907838,0.823868787928054,0.3893649105556166,0.9294595292988468,0.4405983675964613,True
searches,searches,0.1339869348211659,0.187582,"[0.187582, 0.0, 0.0]",1.8627852444123671,2.084566308584635,0.6484875585954449,0.7823852844735959,0.4511257300759362,0.8831452011491215,0.510309592972553,True
searches,searches,0.1339869348211659,0.214379,"[0.214379, 0.0, 0.0]",1.8688293431722918,2.0838995915787395,0.6153986490144736,0.7421473681592043,0.5155712322501579,0.8382308616545013,0.5832097974851688,True
searches,searches,0.1339869348211659,0.241176,"[0.241176, 0.0, 0.0]",1.8770759859434718,2.0865026059674188,0.5845252113983979,0.7045969439493269,0.5800167344243796,0.7963190140410876,0.6561100019977847,True
