setting_label,n,mean_nll,median_nll,mean_delta,mean_c,median_c,mean_alpha_norm,median_alpha_norm,degenerate_share
"A: default (1e-4, 10.0)",8,0.3653760725763809,0.3519156365803015,-1.2723234271705408e-10,1.0000001380148777,1.0000000082176093,0.0,0.0,1.0
"B: alpha_l2=0, scale_l2=10.0",8,0.36537607237848363,0.35191563658030134,-3.2512961073427604e-10,1.0000002202908191,1.0000000337465251,0.0,0.0,1.0
"C: alpha_l2=1e-4, scale_l2=0.1",8,0.36537607216567314,0.3519156359083151,-5.379401021854413e-10,1.0000001334594368,1.0000000273463612,0.0,0.0,1.0
"D: alpha_l2=1e-4, scale_l2=0.0",8,0.36537607131222166,0.3519156350518362,-1.3913915714036662e-09,1.0000001015679338,1.000000033309856,0.0,0.0,1.0
E: no regularization,8,0.36537607150484597,0.3519156350518372,-1.1987672382529624e-09,1.0000000211818931,1.0000000026432692,0.0,0.0,1.0
"F: warm-start from ch.6, no reg",8,0.3653760979415689,0.35191563586612445,2.523795568365461e-08,0.9999937944759508,0.9999999902979546,0.0,0.0,1.0
