block_idx,block_label,setting_label,alpha_l2,scale_l2,personalized_nll,test_nll,learned_base_scale,alpha_l2_norm,fit_success,is_degenerate,delta_vs_personalized_nll,fit_seconds
0,2025-01-15..2025-02-18,"A: default (1e-4, 10.0)",0.0001,10.0,0.33732945118945074,0.3373294513701208,0.9999999587874208,0.0,True,True,1.806700899997793e-10,0.40656089782714844
0,2025-01-15..2025-02-18,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.33732945118945074,0.3373294513569876,0.9999999617832247,0.0,True,True,1.675368732634297e-10,0.40024328231811523
0,2025-01-15..2025-02-18,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.33732945118945074,0.33732945151231825,0.9999999263508456,0.0,True,True,3.2286751050492057e-10,0.40693116188049316
0,2025-01-15..2025-02-18,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.33732945118945074,0.3373294516974346,0.9999998841240652,0.0,True,True,5.079838771848699e-10,0.4268980026245117
0,2025-01-15..2025-02-18,E: no regularization,0.0,0.0,0.33732945118945074,0.3373294516974341,0.9999998841241831,0.0,True,True,5.079833775845088e-10,0.4157390594482422
0,2025-01-15..2025-02-18,"F: warm-start from ch.6, no reg",0.0,0.0,0.33732945118945074,0.33732945152626914,0.999999923168506,0.0,True,True,3.368184064989066e-10,0.22369098663330078
1,2025-02-19..2025-03-25,"A: default (1e-4, 10.0)",0.0001,10.0,0.32935634167243266,0.329356341650415,0.9999999940968148,0.0,True,True,-2.2017665468609948e-11,0.37184619903564453
1,2025-02-19..2025-03-25,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.32935634167243266,0.3293563416504148,0.9999999940967778,0.0,True,True,-2.2017887513214873e-11,0.3696880340576172
1,2025-02-19..2025-03-25,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.32935634167243266,0.32935634164883776,0.9999999936739571,0.0,True,True,-2.3594903808543677e-11,0.34274983406066895
1,2025-02-19..2025-03-25,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.32935634167243266,0.32935634164851313,0.9999999935869205,0.0,True,True,-2.3919533020944073e-11,0.341602087020874
1,2025-02-19..2025-03-25,E: no regularization,0.0,0.0,0.32935634167243266,0.3293563416485129,0.9999999935868535,0.0,True,True,-2.3919755065548998e-11,0.341968297958374
1,2025-02-19..2025-03-25,"F: warm-start from ch.6, no reg",0.0,0.0,0.32935634167243266,0.3293563415864093,0.9999999769362169,0.0,True,True,-8.602335510587977e-11,0.23296689987182617
2,2025-03-26..2025-04-29,"A: default (1e-4, 10.0)",0.0001,10.0,0.33676825256014964,0.3367682525460467,1.0000000064570607,0.0,True,True,-1.4102941037208439e-11,0.39022016525268555
2,2025-03-26..2025-04-29,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.33676825256014964,0.33676825254604764,1.000000006456643,0.0,True,True,-1.4101997347637507e-11,0.39914917945861816
2,2025-03-26..2025-04-29,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.33676825256014964,0.3367682506532998,1.0000008730747585,0.0,True,True,-1.9068498446905835e-09,0.47449398040771484
2,2025-03-26..2025-04-29,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.33676825256014964,0.3367682525345961,1.0000000116997476,0.0,True,True,-2.5553559268587378e-11,0.4820437431335449
2,2025-03-26..2025-04-29,E: no regularization,0.0,0.0,0.33676825256014964,0.3367682525345963,1.0000000116996848,0.0,True,True,-2.5553337223982453e-11,0.4985349178314209
2,2025-03-26..2025-04-29,"F: warm-start from ch.6, no reg",0.0,0.0,0.33676825256014964,0.3367682525337517,1.0000000120863715,0.0,True,True,-2.639793938996604e-11,0.27354001998901367
3,2025-04-30..2025-06-03,"A: default (1e-4, 10.0)",0.0001,10.0,0.3439078748405351,0.3439078757834359,1.000000481510238,0.0,True,True,9.429008129835381e-10,0.46799421310424805
3,2025-04-30..2025-06-03,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.3439078748405351,0.3439078757834362,1.000000481510363,0.0,True,True,9.429010905392943e-10,0.47084498405456543
3,2025-04-30..2025-06-03,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.3439078748405351,0.34390787493968256,1.0000000506321138,0.0,True,True,9.914746801342744e-11,0.5096900463104248
3,2025-04-30..2025-06-03,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.3439078748405351,0.3439078732267736,0.999999175873115,0.0,True,True,-1.6137615133082761e-09,0.52252197265625
3,2025-04-30..2025-06-03,E: no regularization,0.0,0.0,0.3439078748405351,0.3439078732267758,0.999999175874262,0.0,True,True,-1.6137592928622269e-09,0.5053410530090332
3,2025-04-30..2025-06-03,"F: warm-start from ch.6, no reg",0.0,0.0,0.3439078748405351,0.3439078748785194,1.000000019397651,0.0,True,True,3.798433789725664e-11,0.2736539840698242
4,2025-06-04..2025-07-08,"A: default (1e-4, 10.0)",0.0001,10.0,0.3599233967773645,0.3599233973771671,1.0000006248887559,0.0,True,True,5.99802596479293e-10,0.4117419719696045
4,2025-06-04..2025-07-08,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.3599233967773645,0.35992339737716644,1.0000006248880942,0.0,True,True,5.998019303454782e-10,0.4079291820526123
4,2025-06-04..2025-07-08,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.3599233967773645,0.3599233968769476,1.000000103751107,0.0,True,True,9.958306401713912e-11,0.36568665504455566
4,2025-06-04..2025-07-08,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.3599233967773645,0.3599233968768989,1.000000103700325,0.0,True,True,9.953438073750931e-11,0.3603699207305908
4,2025-06-04..2025-07-08,E: no regularization,0.0,0.0,0.3599233967773645,0.35992339687689867,1.000000103700183,0.0,True,True,9.953415869290438e-11,0.3525707721710205
4,2025-06-04..2025-07-08,"F: warm-start from ch.6, no reg",0.0,0.0,0.3599233967773645,0.3599233968537295,1.0000000795613397,0.0,True,True,7.636496990315322e-11,0.24625205993652344
5,2025-07-09..2025-08-12,"A: default (1e-4, 10.0)",0.0001,10.0,0.3928537781633241,0.392853779595549,0.9999994023024508,0.0,True,True,1.4322248942377769e-09,0.3976907730102539
5,2025-07-09..2025-08-12,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.3928537781633241,0.39285377802550814,1.000000057514462,0.0,True,True,-1.3781598084960933e-10,0.3836100101470947
5,2025-07-09..2025-08-12,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.3928537781633241,0.39285377962476387,0.9999993901106495,0.0,True,True,1.461439746996973e-09,0.41367483139038086
5,2025-07-09..2025-08-12,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.3928537781633241,0.39285377803172505,1.0000000549199644,0.0,True,True,-1.3159906497861584e-10,0.38953113555908203
5,2025-07-09..2025-08-12,E: no regularization,0.0,0.0,0.3928537781633241,0.39285377957271617,0.9999994118309388,0.0,True,True,1.409392047513336e-09,0.44261598587036133
5,2025-07-09..2025-08-12,"F: warm-start from ch.6, no reg",0.0,0.0,0.3928537781633241,0.3928538417722202,0.9999734722417465,0.0,True,True,6.360889609480225e-08,0.2653810977935791
