user_id,mu_eb,lambda_u,train_purchases,m_staged,m_joint
59,1.719827277931739,1.1627788172009812,37.0,1.4208703579688182,1.1627788172009812
137,0.4484840675307556,0.20144348044356336,9.0,0.3705242530762026,0.20144348044356336
267,0.4484840675307556,0.32255648522574765,9.0,0.3705242530762026,0.32255648522574765
306,0.17605337958768771,0.10710810600814837,3.0,0.14545008774207072,0.10710810600814837
341,1.2203710167027813,1.0103958063354186,26.0,1.0082343881895763,1.0103958063354186
418,0.0884467793433708,0.03823928199424545,1.0,0.07307210941434569,0.03823928199424545
801,0.31226872355922164,0.15050837996551905,6.0,0.25798717040913666,0.15050837996551905
961,0.5846994115022895,0.28339619749887435,12.0,0.48306133574326865,0.28339619749887435
996,1.7652323925889168,1.4050112281504425,38.0,1.4583827188578402,1.4050112281504425
1042,0.0934416658637659,0.05604639371218885,1.0,0.07719873671542116,0.05604639371218885
1160,1.2203710167027813,0.8783295201953975,26.0,1.0082343881895763,0.8783295201953975
1267,0.5846994115022895,0.373110212834255,12.0,0.48306133574326865,0.373110212834255
1353,0.26686360890204364,0.10858130292102004,5.0,0.22047480952011467,0.10858130292102004
1378,0.7663198701310014,0.61976265985536,16.0,0.6331107792993566,0.61976265985536
1553,1.9468528512176289,1.1390945379632853,42.0,1.6084321624139282,1.1390945379632853
1748,1.8560426219032728,1.5535350583563414,40.0,1.5334074406358842,1.5535350583563414
1881,0.2225368901109699,0.13556535832874858,4.0,0.18385338735497797,0.13556535832874858
1887,0.5846994115022895,0.3679771851889389,12.0,0.48306133574326865,0.3679771851889389
1933,0.40307895287357765,0.17349796599380027,8.0,0.3330118921871807,0.17349796599380027
2209,0.31226872355922164,0.1783832327840209,6.0,0.25798717040913666,0.1783832327840209
2232,3.1426146902659684,1.8279916711076698,68.0,2.596335176917401,1.8279916711076698
2249,0.45689236762109153,0.35472813456454266,9.0,0.37747094156787053,0.35472813456454266
2340,0.13064826493050974,0.06716915145908502,2.0,0.10793772685304874,0.06716915145908502
2596,0.05963659379424689,0.1596317695671412,0.0,0.049269987434072904,0.1596317695671412
2647,1.9922579658748067,1.757436771167366,43.0,1.6459445233029502,1.757436771167366
2740,0.17605337958768771,0.11091313754172073,3.0,0.14545008774207072,0.11091313754172073
2807,1.0387505580740692,0.8315207732125166,22.0,0.8581849446334884,0.8315207732125166
2812,0.6301045261594675,0.32984924267320165,13.0,0.5205736966322906,0.32984924267320165
2873,0.6301045261594675,0.3779408400354352,13.0,0.5205736966322906,0.3779408400354352
3001,8.757620049794326,3.575448692064664,192.0,7.235286295767227,3.575448692064664
3042,0.8117249847881794,0.6494733296784047,17.0,0.6706231401883785,0.6494733296784047
3325,0.4484840675307556,0.2248013400877212,9.0,0.3705242530762026,0.2248013400877212
3367,0.08645778934198552,0.04993989689318388,1.0,0.0714288647865111,0.04993989689318388
