setting_label,n,mean_nll,median_nll,mean_delta,mean_c,median_c,mean_alpha_norm,median_alpha_norm,degenerate_share
"A: default (1e-4, 10.0)",4,0.36396270907345746,0.35981688791290767,-0.0026588763009774696,0.9715861438576228,0.9737020503006484,0.0021761452912006166,0.0018774681644458534,0.0
"B: alpha_l2=0, scale_l2=10.0",4,0.3639627090778949,0.35981688792159694,-0.0026588762965400053,0.9715861437867388,0.9737020501371192,0.0021761452850222506,0.001877468152674849,0.0
"C: alpha_l2=1e-4, scale_l2=0.1",4,0.36396249538390824,0.35981674542132447,-0.002659089990526664,0.9715636148819482,0.9736687182745761,0.0021754882412020893,0.0018757939790627863,0.0
"D: alpha_l2=1e-4, scale_l2=0.0",4,0.3639626986999309,0.3598171787970972,-0.0026588866745040074,0.9715781186202794,0.9736989698796338,0.0021742088451870197,0.0018732494996209449,0.0
E: no regularization,4,0.36396269870289677,0.35981717880368436,-0.00265888667153813,0.9715781187641265,0.9736989701487448,0.002174208835870041,0.0018732494800764625,0.0
"F: warm-start from ch.6, no reg",4,0.36396429895831117,0.35981671792926206,-0.0026572864161237136,0.9716128040248877,0.9736993153438522,0.002175718876868682,0.0018773661149714589,0.0
