block_idx,block_label,setting_label,alpha_l2,scale_l2,personalized_nll,test_nll,learned_base_scale,alpha_l2_norm,fit_success,is_degenerate,delta_vs_personalized_nll,fit_seconds
0,2025-01-15..2025-03-18,"A: default (1e-4, 10.0)",0.0001,10.0,0.3379841869094286,0.3365540013498889,0.9825865620095409,0.0017114073565694288,True,False,-0.0014301855595397206,0.8717701435089111
0,2025-01-15..2025-03-18,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.3379841869094286,0.3365540013503534,0.9825865620543837,0.001711407355250164,True,False,-0.0014301855590752033,0.8557441234588623
0,2025-01-15..2025-03-18,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.3379841869094286,0.33655380763798054,0.9825772536376166,0.001711709343920071,True,False,-0.0014303792714480679,0.9622108936309814
0,2025-01-15..2025-03-18,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.3379841869094286,0.33655383432340197,0.9825767306887181,0.0017117636103675187,True,False,-0.0014303525860266397,0.9674060344696045
0,2025-01-15..2025-03-18,E: no regularization,0.0,0.0,0.3379841869094286,0.3365538343218775,0.9825767307257831,0.001711763612079462,True,False,-0.001430352587551087,0.9617459774017334
0,2025-01-15..2025-03-18,"F: warm-start from ch.6, no reg",0.0,0.0,0.3379841869094286,0.3365538592943045,0.982575606902485,0.0017115427468548845,True,False,-0.0014303276151241273,0.4176461696624756
1,2025-03-19..2025-05-20,"A: default (1e-4, 10.0)",0.0001,10.0,0.34725164237200107,0.3454485740429039,0.9801110916547909,0.0018270032342630927,True,False,-0.0018030683290971572,0.9214820861816406
1,2025-03-19..2025-05-20,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.34725164237200107,0.3454485740603093,0.9801110913283931,0.0018270032104788377,True,False,-0.0018030683116917468,0.9833700656890869
1,2025-03-19..2025-05-20,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.34725164237200107,0.34544744011186274,0.9800531055936437,0.0018286318983372555,True,False,-0.0018042022601383323,1.0971629619598389
1,2025-03-19..2025-05-20,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.34725164237200107,0.3454482621282296,0.9800774820810765,0.0018252527261418245,True,False,-0.0018033802437714685,1.0659210681915283
1,2025-03-19..2025-05-20,E: no regularization,0.0,0.0,0.34725164237200107,0.3454482621255063,0.9800774821207817,0.0018252527326184846,True,False,-0.0018033802464947901,1.0453081130981445
1,2025-03-19..2025-05-20,"F: warm-start from ch.6, no reg",0.0,0.0,0.34725164237200107,0.34544855895377674,0.9801166097874748,0.0018266779585098128,True,False,-0.0018030834182243272,0.5136528015136719
2,2025-05-21..2025-07-22,"A: default (1e-4, 10.0)",0.0001,10.0,0.3780203867239729,0.37418520178291137,0.9672930089465058,0.0019279330946286144,True,False,-0.0038351849410615535,0.7882289886474609
2,2025-05-21..2025-07-22,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.3780203867239729,0.3741852017828846,0.9672930089458454,0.0019279330948708605,True,False,-0.00383518494108831,0.8330240249633789
2,2025-05-21..2025-07-22,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.3780203867239729,0.37418605073078615,0.9672843309555086,0.001922956059788317,True,False,-0.003834335993186777,0.9474878311157227
2,2025-05-21..2025-07-22,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.3780203867239729,0.3741860954659647,0.9673204576781911,0.0019212462731000655,True,False,-0.0038342912580082156,0.8618659973144531
2,2025-05-21..2025-07-22,E: no regularization,0.0,0.0,0.3780203867239729,0.37418609548186244,0.967320458176708,0.0019212462275344404,True,False,-0.003834291242110488,0.8672969341278076
2,2025-05-21..2025-07-22,"F: warm-start from ch.6, no reg",0.0,0.0,0.3780203867239729,0.37418487690474733,0.9672820209002295,0.001928054271433105,True,False,-0.003835509819225591,0.6871588230133057
3,2025-07-23..2025-09-23,"A: default (1e-4, 10.0)",0.0001,10.0,0.40323012549233705,0.3996630591181256,0.9563539128196533,0.0032382374793413315,True,False,-0.0035670663742114472,1.0380229949951172
3,2025-07-23..2025-09-23,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.40323012549233705,0.3996630591180323,0.9563539128183332,0.0032382374794891395,True,False,-0.0035670663743047615,1.0407090187072754
3,2025-07-23..2025-09-23,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.40323012549233705,0.3996626830550036,0.9563397693410239,0.003238655662762713,True,False,-0.003567442437333479,1.0567927360534668
3,2025-07-23..2025-09-23,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.40323012549233705,0.39966260288212735,0.9563378040331323,0.00323857277113867,True,False,-0.0035675226102097057,1.0851173400878906
3,2025-07-23..2025-09-23,E: no regularization,0.0,0.0,0.40323012549233705,0.3996626028823409,0.9563378040332331,0.003238572771247778,True,False,-0.0035675226099961543,1.0765900611877441
3,2025-07-23..2025-09-23,"F: warm-start from ch.6, no reg",0.0,0.0,0.40323012549233705,0.39966990068041625,0.9564769785093613,0.0032366005306769265,True,False,-0.003560224811920809,0.7275898456573486
