alpha_l2,test_poisson_loglik,test_mean_poisson_nll,test_mae,test_rmse,test_relative_aggregate_bias,learned_base_scale,alpha_l2_norm,fit_success,fit_seconds
0.0,-203093.05900680096,0.3958018604040415,0.21691388388113345,0.6271883009630254,-0.020022804404406413,0.826170381305958,0.01610049296334642,True,3.4228219985961914
1e-06,-203093.0590073925,0.39580186040519433,0.21691388387834823,0.6271883009634013,-0.020022804437485605,0.8261703813022889,0.016100492959155225,True,3.2920851707458496
1e-05,-203093.05900585395,0.3958018604021959,0.21691388388511063,0.6271883009623832,-0.02002280435602515,0.8261703813090807,0.01610049297183958,True,3.266831874847412
0.0001,-203093.05900769314,0.39580186040578025,0.21691388387551605,0.6271883009634697,-0.02002280446713693,0.8261703812940764,0.01610049296492457,True,3.2797231674194336
0.001,-203093.05902766413,0.39580186044470106,0.21691388377366064,0.6271883009754622,-0.020022805652068872,0.8261703811431966,0.01610049287840386,True,3.3316240310668945
0.01,-203093.05923338595,0.3958018608456261,0.21691388271839535,0.6271883010985124,-0.02002281791576447,0.8261703795530343,0.01610049201141791,True,3.294326066970825
0.1,-203093.0612924796,0.3958018648585308,0.21691387215000338,0.6271883023304432,-0.020022940756910773,0.8261703635240263,0.016100483232420446,True,3.2977869510650635
1.0,-203093.08090098063,0.3958019030729396,0.21691377044257273,0.6271883140519924,-0.020024123856089978,0.8261701977367875,0.016100392164434218,True,3.312473773956299
10.0,-203093.21344628595,0.3958021613864373,0.21691300863173338,0.6271883943878435,-0.020033108624358024,0.8261680113656681,0.016099078884245367,True,3.3741300106048584
100.0,-203094.7287829483,0.39580511457978146,0.21690245383776283,0.6271895571535181,-0.020166670189409003,0.8260956113502906,0.01605661068703563,True,3.2890429496765137
1000.0,-203095.3275874653,0.3958062815716176,0.21690843737305981,0.6271902563865076,-0.020098406045975743,0.8261961197296778,0.016070497557398387,True,4.907503128051758
10000.0,-203099.75343139417,0.395814906963689,0.2169075219404864,0.6271943474236278,-0.020132696362916053,0.8263618969789407,0.016029709197295017,True,3.226654291152954
100000.0,-203140.0202819383,0.39589338179899813,0.2169028524956003,0.6272320470145784,-0.02042646417540515,0.8278274996882242,0.015574259365550219,True,3.5172600746154785
1000000.0,-203490.1200514416,0.3965756805480252,0.21690898676722342,0.627526802711801,-0.02191395237970404,0.8404176127308419,0.011800005536510545,True,2.0885889530181885
