event_date,to_ord,personalized_poisson_prediction,hawkes_prediction,hawkes_excitation,split
2025-01-15,0.09952153110047847,0.11420021667300956,0.12344108554565636,0.009240868872646813,train
2025-01-16,0.11199148533585619,0.11249652756060698,0.12174342451342063,0.009246896952813647,train
2025-01-17,0.08916227299355595,0.10300782975301244,0.11259136709380109,0.009583537340788663,train
2025-01-18,0.09186046511627907,0.10139202185599605,0.1103608097717599,0.00896878791576385,train
2025-01-19,0.09551274656823162,0.10892288439530898,0.11788308665383593,0.00896020225852695,train
2025-01-20,0.08030285648732362,0.10277328792287269,0.11199848312828434,0.009225195205411652,train
2025-01-21,0.08255309431377027,0.10136342003828847,0.11014563999290312,0.008782219954614675,train
2025-01-22,0.09361508748011815,0.09864129175614889,0.10717064391959236,0.008529352163443473,train
2025-01-23,0.08086070215175538,0.09854787866151314,0.10721477960252945,0.00866690094101632,train
2025-01-24,0.08502710027100271,0.08545152223424098,0.09405535447433416,0.008603832240093196,train
2025-01-25,0.08890389376547378,0.08652949948597753,0.09483892546398082,0.008309425978003285,train
2025-01-26,0.10057181298351833,0.09429749473218847,0.10270728668785381,0.008409791955665349,train
2025-01-27,0.08232662192393736,0.09059810129185188,0.09954650945989563,0.008948408168043747,train
2025-01-28,0.08576845862145885,0.09297484781880272,0.10154815690844421,0.008573309089641497,train
2025-01-29,0.08314806580702534,0.09249345038459755,0.10105185726591039,0.008558406881312836,train
2025-01-30,0.09010306993239499,0.09172717834256593,0.10018579539208632,0.008458617049520382,train
2025-01-31,0.07448810182623132,0.08490697242667793,0.09339578407650506,0.008488811649827132,train
2025-02-01,0.09474381625441695,0.08513862228029778,0.09321106926922389,0.008072446988926115,train
2025-02-02,0.08392994823218417,0.0940789236382754,0.1025340357330484,0.008455112094772994,train
2025-02-03,0.08491706030978798,0.0871578133043551,0.0958846080004587,0.008726794696103587,train
2025-02-04,0.08455801710901513,0.08959141025281893,0.0981053248913128,0.008513914638493866,train
2025-02-05,0.08592381786339755,0.08857115274962161,0.09692954993501746,0.008358397185395843,train
2025-02-06,0.08925259138025095,0.08974991184104673,0.09808896595006801,0.00833905410902128,train
2025-02-07,0.087070091423596,0.08171396498663096,0.09011473136766975,0.008400766381038791,train
2025-02-08,0.0951346655082537,0.08512945277390918,0.09344997938961508,0.008320526615705884,train
2025-02-09,0.09790740539954462,0.09327113650159154,0.10195097576419052,0.008679839262598977,train
2025-02-10,0.09883091578263693,0.09104915806780314,0.10001644474765635,0.00896728667985321,train
2025-02-11,0.09055543548735683,0.09531115640940326,0.10429786103191724,0.008986704622513993,train
2025-02-12,0.09758203799654577,0.09537215279286466,0.10436276929649342,0.008990616503628753,train
2025-02-13,0.1048265460030166,0.0979838623797528,0.10698081711749993,0.008996954737747136,train
2025-02-14,0.08979328165374677,0.09150112626488843,0.10059023796218919,0.009089111697300761,train
2025-02-15,0.10279269602577873,0.09377213169782064,0.10236474208861523,0.008592610390794583,train
2025-02-16,0.10505419036377293,0.10385286445333707,0.11268764962489798,0.008834785171560925,train
2025-02-17,0.09838173829171579,0.10006961620086248,0.10947624426313636,0.009406628062273879,train
2025-02-18,0.0903543517824644,0.10238937083490894,0.11176026156172589,0.00937089072681693,train
2025-02-19,0.09462204640222388,0.1014523490305268,0.11061377201536551,0.009161422984838718,train
2025-02-20,0.1025531460314069,0.10200426053361605,0.11110152360431462,0.009097263070698565,train
2025-02-21,0.09464361929150661,0.09273591604987286,0.10193263186751027,0.009196715817637416,train
2025-02-22,0.10873041253597697,0.09538429331394054,0.104150449281674,0.008766155967733471,train
2025-02-23,0.09157704184857843,0.1053751912340139,0.11447053635190006,0.009095345117886152,train
2025-02-24,0.08600319318786588,0.09857422196277828,0.10747809525750715,0.008903873294728878,train
2025-02-25,0.10868871636711688,0.09909471691137832,0.10778405421425392,0.008689337302875608,train
