,hl_1,hl_3,hl_7,hl_21
searches,0.0017032374972857393,0.0,0.0,0.0
search_to_cart,0.0011846821143913027,0.0,0.0,0.0
search_to_ord,0.0058525050892878705,0.0,0.0,0.0
cat_to_cart,0.0017637473558941034,0.0,0.0,0.0
cat_to_ord,0.000992541592418302,0.0010741586253081564,0.0,0.0
to_cart,0.0023002049099784057,0.0,0.0,0.0
to_ord,0.006196822162224768,0.0,0.0,0.0
