user_id,ll_global_poisson,ll_rolling_poisson,ll_rolling_seasonal_poisson,ll_personalized_rolling_seasonal_poisson,test_purchases
59,-9.890445102881444,-10.87875483473078,-10.956825724645052,-14.687319241571945,2.0
137,-7.613950499977117,-8.697256444870648,-8.662004440995368,-5.774783782284581,1.0
267,-5.337455897072789,-6.678133979996367,-6.689023042740466,-2.9999202620151957,0.0
306,-21.481330164286753,-21.45121158884947,-21.72834129169629,-26.63875158266729,6.0
341,-9.890445102881444,-10.714208049959968,-10.702408593622469,-11.778165553171661,2.0
418,-9.890445102881444,-10.756343789855038,-10.718643273414592,-9.471951318181034,2.0
801,-5.337455897072789,-6.678133979996367,-6.689023042740466,-2.088772687414786,0.0
961,-5.337455897072789,-6.678133979996367,-6.689023042740466,-3.911067836615605,0.0
996,-51.49258409581036,-49.11133406507978,-49.09271829354967,-44.55057546920792,17.0
1042,-5.337455897072789,-6.678133979996367,-6.689023042740466,-0.6250334561147853,0.0
1160,-27.212201684331628,-26.701330791530108,-26.868680627526327,-26.550353115128022,9.0
1267,-7.613950499977117,-8.693631506062985,-8.681073201914561,-6.439775386085863,1.0
1353,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.7850568292146498,0.0
1378,-7.613950499977117,-8.757533048906193,-8.83484509100954,-7.5379089290637165,1.0
1553,-36.31818009594893,-34.7066141171094,-34.92589089951188,-32.598627536875796,13.0
1748,-22.65921247852297,-22.43180079152671,-22.480628017407728,-23.877590651471593,7.0
1881,-5.337455897072789,-6.678133979996367,-6.689023042740466,-1.4885543858120807,0.0
1887,-17.41307609215437,-17.687638463838784,-17.783542753927758,-17.68887449928371,5.0
1933,-23.54941272030741,-23.07359331032902,-22.93781436350908,-26.213978311673323,8.0
2209,-9.890445102881444,-10.783950912909297,-10.906472489471394,-8.63400447097368,2.0
2232,-50.132380224780185,-47.52503951191002,-48.14894759214719,-44.16006410991499,16.0
2249,-7.613950499977116,-8.71470472764116,-8.710549034766535,-5.8609970023514695,1.0
2293,-17.888811772026223,-17.089778342094984,-16.9148195037938,-16.929521109861703,6.0
2340,-7.613950499977116,-8.73810728332096,-8.749755193875986,-4.969887973140411,1.0
2596,-17.621488139038046,-17.841083211633002,-17.751403425209013,-22.73923454650528,4.0
2647,-29.003961153559683,-28.371330965635906,-28.20419602407233,-28.638014556680233,9.0
2740,-7.613950499977116,-8.684246607630737,-8.648994603755455,-4.874564710645547,1.0
2807,-7.613950499977116,-8.675778536531334,-8.640526532656052,-8.861711304089756,1.0
2812,-12.166939705785772,-12.85309130239193,-13.020822413412775,-11.9321917419481,3.0
2873,-5.337455897072789,-6.678133979996367,-6.689023042740466,-4.2147836948157416,0.0
3001,-276.5912808009238,-257.10260192054636,-256.98679897834757,-124.43414258936586,85.0
3042,-7.613950499977117,-8.693631506062985,-8.681073201914561,-7.630290971663316,1.0
3325,-14.4434343086901,-15.00902777371419,-14.9948165303897,-14.51324223772237,4.0
3367,-13.958699175013827,-14.650070444302923,-14.585532870170956,-15.819124878463025,3.0
3485,-28.310813972999735,-27.54678972415645,-27.46855615588853,-29.520517462429126,9.0
3552,-5.337455897072789,-6.678133979996367,-6.689023042740466,-3.607351978415468,0.0
3631,-5.337455897072789,-6.678133979996367,-6.689023042740466,-2.3924885456149223,0.0
3733,-15.136581489250043,-15.551389655395875,-15.6828625658975,-16.68064730925622,4.0
3761,-5.337455897072789,-6.678133979996367,-6.689023042740466,-2.3924885456149223,0.0
3774,-5.337455897072789,-6.678133979996367,-6.689023042740466,-2.797533821828502,0.0
3883,-9.890445102881444,-10.761916084360049,-10.793087059844016,-8.818588366347269,2.0
3896,-26.727466550655354,-26.199066974014855,-26.306919833274247,-28.165199583359534,8.0
3905,-17.621488139038046,-17.974000034039673,-17.884320247615683,-24.353507360308427,4.0
3952,-27.4206137312153,-26.904100020871297,-27.242243680859477,-27.143442819804175,8.0
3955,-14.4434343086901,-14.996942826784615,-15.100490880336459,-17.42636336177284,4.0
3956,-21.27291811740308,-21.003428444889263,-20.942866725017513,-21.921513250965788,7.0
3979,-7.613950499977116,-8.656695856062091,-8.668343766617117,-5.988400958606176,1.0
4073,-22.579942452954864,-22.442311677247215,-22.41034301656791,-22.485901735724973,6.0
