event_date,to_ord,personalized_poisson_prediction,global_scaled_hawkes_prediction,user_scaled_hawkes_prediction,hawkes_excitation,split
2025-01-15,0.09952153110047847,0.11420021667300956,0.11117296985041357,0.11087596907537808,0.017960350727236153,train
2025-01-16,0.11199148533585619,0.11249652756060698,0.10984713802940371,0.10951822643804378,0.018025105797960444,train
2025-01-17,0.08916227299355595,0.10300782975301244,0.10262002517817727,0.10230480885000857,0.01854286769812555,train
2025-01-18,0.09186046511627907,0.10139202185599605,0.10053608651159644,0.10021749741729376,0.01777778542664303,train
2025-01-19,0.09551274656823162,0.10892288439530898,0.10670099984267599,0.106338675577799,0.017795850336620716,train
2025-01-20,0.08030285648732362,0.10277328792287269,0.10210527211670904,0.10175172965365444,0.018219552612154955,train
2025-01-21,0.08255309431377027,0.10136342003828847,0.10035656954425147,0.10000104305380655,0.017621613864568546,train
2025-01-22,0.09361508748011815,0.09864129175614889,0.09775880271022425,0.09738212800587016,0.01724570539613472,train
2025-01-23,0.08086070215175538,0.09854787866151314,0.09782157280935767,0.09743197597956182,0.017384721228114096,train
2025-01-24,0.08502710027100271,0.08545152223424098,0.08705797330149878,0.08671668786143577,0.017310643326436295,train
2025-01-25,0.08890389376547378,0.08652949948597753,0.08744588488762803,0.08709190302580326,0.016818687203756556,train
2025-01-26,0.10057181298351833,0.09429749473218847,0.0939312410765064,0.09355527676875443,0.0169636422679246,train
2025-01-27,0.08232662192393736,0.09059810129185188,0.09169854670623166,0.09132788554375475,0.017750470642761904,train
2025-01-28,0.08576845862145885,0.09297484781880272,0.09315829294876904,0.0927758506107237,0.017270266373617244,train
2025-01-29,0.08314806580702534,0.09249345038459755,0.09274436587560614,0.0923553990806726,0.01724926601275582,train
2025-01-30,0.09010306993239499,0.09172717834256593,0.09193245368347648,0.09154452921091327,0.01706280118035534,train
2025-01-31,0.07448810182623132,0.08490697242667793,0.08639132988936964,0.0860270219704307,0.01708847292219392,train
2025-02-01,0.09474381625441695,0.08513862228029778,0.08599105871155704,0.08561918781917424,0.016499124260953846,train
2025-02-02,0.08392994823218417,0.0940789236382754,0.09376780589048739,0.0933483188183618,0.016978609406540324,train
2025-02-03,0.08491706030978798,0.0871578133043551,0.08859207524188521,0.08819717574114604,0.01745203460247057,train
2025-02-04,0.08455801710901513,0.08959141025281893,0.09026078243591643,0.08985380027263569,0.017134388774895853,train
2025-02-05,0.08592381786339755,0.08857115274962161,0.08915589511537905,0.08874784880917672,0.016862257090237857,train
2025-02-06,0.08925259138025095,0.08974991184104673,0.0900976217174495,0.08967986627202147,0.016841855725935006,train
2025-02-07,0.087070091423596,0.08171396498663096,0.08361040391695064,0.08322020007355496,0.01691374678929687,train
2025-02-08,0.0951346655082537,0.08512945277390918,0.08631183410272354,0.08589849448477385,0.01682738399612113,train
2025-02-09,0.09790740539954462,0.09327113650159154,0.09347622415381762,0.09300983008558548,0.017346360523151482,train
2025-02-10,0.09883091578263693,0.09104915806780314,0.0921260687169294,0.09167649751287987,0.017809830624660176,train
2025-02-11,0.09055543548735683,0.09531115640940326,0.09571079872064753,0.09522701531510347,0.017915827928100723,train
2025-02-12,0.09758203799654577,0.09537215279286466,0.09584716086440923,0.09536246408297415,0.018002403540583228,train
2025-02-13,0.1048265460030166,0.0979838623797528,0.09801462711200817,0.09750957013586503,0.018038137484380948,train
2025-02-14,0.08979328165374677,0.09150112626488843,0.09287046408488764,0.09239565160247735,0.018185320042717047,train
2025-02-15,0.10279269602577873,0.09377213169782064,0.0940657679678981,0.09356944527057928,0.01752698151931508,train
2025-02-16,0.10505419036377293,0.10385286445333707,0.10265129936775436,0.10209974443755966,0.01788440678945179,train
2025-02-17,0.09838173829171579,0.10006961620086248,0.1004810462844988,0.09994641290224014,0.018802120512914952,train
2025-02-18,0.0903543517824644,0.10238937083490894,0.10240860701971372,0.10185480353801331,0.018836248718297356,train
2025-02-19,0.09462204640222388,0.1014523490305268,0.10139792397854878,0.10084472364987435,0.018590382584722648,train
2025-02-20,0.1025531460314069,0.10200426053361605,0.10174720522812773,0.101186522493129,0.018489182055668355,train
2025-02-21,0.09464361929150661,0.09273591604987286,0.09428671344137529,0.09377708902180916,0.01859370800210679,train
2025-02-22,0.10873041253597697,0.09538429331394054,0.09585872934497676,0.09533502685636247,0.018004062672465005,train
2025-02-23,0.09157704184857843,0.1053751912340139,0.1044539223036136,0.10385563096735312,0.018444474583804195,train
2025-02-24,0.08600319318786588,0.09857422196277828,0.0987527013786301,0.09819207128015009,0.018294347840745705,train
