user_id,user_scale,train_days
59,0.7870999583974481,207
137,0.5821478785946965,207
267,0.8919757325202227,207
306,0.7118066167458892,207
341,0.8545160293579102,207
418,0.5445366911590099,199
801,0.5248647322878242,207
961,0.5709083937108517,207
996,0.9014772856608033,207
1042,0.0,186
1160,0.7501600589603186,207
1267,0.7936222152784467,207
1353,0.2803616737946868,207
1378,0.8324702037498355,207
1553,0.7140919519588351,207
1748,0.9337971219792962,207
1881,0.6836825516074896,206
1887,0.7606662530452013,207
1933,0.4472315823659301,207
2209,0.7439624331891537,207
2232,0.868845353834331,206
2249,0.9197339788079262,203
2293,0.8162210356401853,0
2340,0.7108125369995832,207
2596,0.0,131
2647,0.945296473801136,207
2740,0.7641110802069306,207
2807,0.8280097087845206,207
2812,0.6494050147011876,207
2873,0.6590959383174777,207
3001,0.892558260820806,207
3042,0.8101911982521415,207
3325,0.7340064039453864,207
3367,0.5551518406718969,204
3485,0.6637590611353517,207
3552,0.636632121168077,207
3631,0.5000213906168938,207
3733,0.8999769436195493,207
3761,0.7322904886677861,207
3774,0.6881116051226854,199
3883,0.7922560069710016,207
3896,0.797928823158145,207
3905,0.0,207
3952,0.7948596263304353,154
3955,0.0,207
3956,0.7686065277084708,207
3979,0.8599096303805709,207
4073,0.970487822778523,203
4344,0.7684087380766869,207
4453,0.6079056998714805,207
4650,0.7404269929975271,207
4711,0.8809105074033141,207
4730,0.8005427801981568,207
4753,0.5833258526399732,207
4892,0.8249597530812025,207
5010,0.8849850809201598,207
5020,0.8149486454203725,207
5043,0.5894088512286544,207
5120,0.9142702585086226,207
5331,0.5986078595742583,207
5340,0.8616679115220904,207
5552,0.8337741671130061,207
5568,0.6175389001145959,207
5761,0.7744163228198886,207
5867,0.6108911940827966,207
5887,0.6368894316256046,38
5912,0.6510512949898839,207
5932,0.6864323746412992,207
6321,0.701451557688415,207
6350,0.9104819921776652,207
6411,0.7335834065452218,207
6442,0.9029532503336668,207
6713,0.6148989871144295,195
6977,0.9437541710212827,207
7070,0.6786976335570216,74
7235,0.8882305212318897,207
7261,0.7126777851954103,207
7388,0.0,207
7395,0.8663095906376839,130
7398,0.6180823128670454,207
7409,0.0,37
7438,0.7706693513318896,201
7613,0.9307446563616395,207
7733,0.8320788946002722,207
7766,0.4575131880119443,206
7802,0.7226682128384709,207
7841,0.6639465317130089,207
7900,0.7619899651035666,207
7923,0.8914481149986386,207
7949,0.6270516244694591,207
8108,0.8884291769936681,207
8203,0.8382098004221916,207
8344,0.8884917804971337,207
8403,0.8256785990670323,207
8585,0.5547614488750696,207
8616,0.7510471483692527,207
8766,0.7664828328415751,207
