,hl_1,hl_3,hl_7,hl_21
searches,0.00296008111498363,0.0,0.0,0.0
cat_to_cart,0.0009148732651441065,0.0,0.0,0.0
cat_to_ord,0.0,0.0,0.002381483573967318,0.0
to_cart,0.004359114732581791,0.0,0.0,0.0
to_ord,0.00039084994077230926,0.011603497456448324,0.002280902202642161,0.0
