user_id,ll_personalized_poisson,ll_experimental_1_2_hawkes_hl1,test_purchases
59,-14.687319241571945,-13.583978817772309,2.0
137,-5.774783782284581,-5.767597128212343,1.0
267,-2.9999202620151957,-2.7093832274216205,0.0
306,-26.63875158266729,-26.548074419106683,6.0
341,-11.778165553171661,-11.558469105344694,2.0
418,-9.471951318181034,-7.816027963389488,2.0
801,-2.088772687414786,-2.7159009922734,0.0
961,-3.911067836615605,-3.7130536090230972,0.0
996,-44.55057546920792,-45.85900432857459,17.0
1042,-0.6250334561147853,-0.5663782207386244,0.0
1160,-26.550353115128022,-25.06577203919286,9.0
1267,-6.439775386085863,-6.044048498657261,1.0
1353,-1.7850568292146498,-3.6004479994211978,0.0
1378,-7.5379089290637165,-7.455243165437678,1.0
1553,-32.598627536875796,-33.16243389036613,13.0
1748,-23.877590651471593,-23.133315434684935,7.0
1881,-1.4885543858120807,-1.444451790427875,0.0
1887,-17.68887449928371,-18.014424550790885,5.0
1933,-26.213978311673323,-26.345301387463145,8.0
2209,-8.63400447097368,-8.648029459992062,2.0
2232,-44.16006410991499,-44.46736091834589,16.0
2249,-5.8609970023514695,-5.783366119181802,1.0
2293,-16.929521109861703,-17.44139865479372,6.0
2340,-4.969887973140411,-5.1289557536630195,1.0
2596,-22.73923454650528,-22.475032335071358,4.0
2647,-28.638014556680233,-28.541030026863744,9.0
2740,-4.874564710645547,-4.948422906633349,1.0
2807,-8.861711304089756,-8.27078697921479,1.0
2812,-11.9321917419481,-12.225351602980519,3.0
2873,-4.2147836948157416,-4.091973809910393,0.0
3001,-124.43414258936586,-121.74216342272207,85.0
3042,-7.630290971663316,-7.388712885451836,1.0
3325,-14.51324223772237,-13.268946619099221,4.0
3367,-15.819124878463025,-14.701584333666704,3.0
3485,-29.520517462429126,-28.638565426891176,9.0
3552,-3.607351978415468,-3.47537983581624,0.0
3631,-2.3924885456149223,-2.2097382425765875,0.0
3733,-16.68064730925622,-16.606274849417293,4.0
3761,-2.3924885456149223,-2.3007177914158006,0.0
3774,-2.797533821828502,-2.464258197189282,0.0
3883,-8.818588366347269,-8.673951030270933,2.0
3896,-28.165199583359534,-28.247311976251364,8.0
3905,-24.353507360308427,-25.56634085038125,4.0
3952,-27.143442819804175,-27.40332041724351,8.0
3955,-17.42636336177284,-15.390254042099556,4.0
3956,-21.921513250965788,-21.427058708118043,7.0
3979,-5.988400958606176,-5.807949107174807,1.0
4073,-22.485901735724973,-22.17350173771793,6.0
4344,-2.9999202620151957,-2.8727205361297816,0.0
4453,-5.277973242871076,-5.3802208456175595,1.0
4650,-28.56507576878199,-26.490622352517125,7.0
4711,-39.259679225078074,-39.268370574097496,17.0
4730,-101.8603591529457,-98.88805503616166,32.0
4753,-12.389515549309428,-13.078950434830084,3.0
4892,-11.669179003334765,-12.062510877246096,3.0
5010,-40.53520015067958,-40.99964090201505,17.0
5020,-30.2030412718843,-29.140834654551732,10.0
5043,-12.630130779639513,-13.424866177015774,3.0
5120,-6.5210370084587606,-6.346846966367695,1.0
5331,-19.400186661301863,-19.63611146419557,5.0
5340,-31.696198026658017,-30.79836517648516,11.0
5552,-40.22918530332982,-39.01815696817386,12.0
5568,-18.842487025870362,-17.413170967053176,5.0
5761,-10.563628095559405,-10.477051738172399,2.0
5867,-29.168185744729485,-29.956506804429498,7.0
5887,-5.5060413400389585,-5.215605545484659,1.0
5912,-34.623289815674035,-35.21806831548715,13.0
5932,-5.133080292239298,-5.202500950218776,1.0
6321,-12.18815544095702,-12.574495208723603,3.0
6350,-45.44070525746752,-45.54640996168063,20.0
6411,-1.177625112814377,-1.0749439210079823,0.0
6442,-17.789061651299,-17.55985911339234,5.0
6713,-9.684178208595085,-10.158690627860095,2.0
6977,-6.644510560416832,-5.757636145592328,0.0
7070,-90.04579834976215,-83.25335936923099,30.0
7235,-51.08541147911113,-49.75892948724814,23.0
7261,-26.460803480179848,-24.169692203524942,8.0
7388,-62.26557720324157,-50.593534571912066,14.0
7395,-24.2993948944948,-24.047521445859548,8.0
7398,-1.7850568292146498,-1.5621395827943156,0.0
7409,-32.32504430941826,-27.509439443392797,8.0
7438,-8.424544709914263,-7.811001363274528,2.0
7613,-67.94442790798222,-68.69162906727335,29.0
7733,-15.525234965469908,-15.39512239836064,4.0
7766,-4.639467012541562,-4.772506395780096,1.0
7802,-21.907898006288804,-22.16548156003931,6.0
7841,-0.8739092546142408,-0.9720003764734838,0.0
7900,-15.183423269236169,-15.2955583166588,4.0
7923,-11.57525852492742,-11.450685858567768,3.0
7949,-5.947624432298755,-5.9376285192153215,1.0
8108,-18.202881711478245,-18.767729081449666,5.0
8203,-12.661871482582093,-12.818024478246166,3.0
8344,-36.66600597428199,-37.437365453284556,14.0
8403,-8.723145044920681,-8.87368410667317,2.0
8585,-14.097597008632615,-12.127324230878834,3.0
8616,-14.871986423197344,-13.93448331578608,4.0
8766,-9.096472978926677,-8.609702981083704,2.0
8863,-4.9791700905721905,-4.35880027374225,1.0
8866,-5.256974699460587,-5.268792038026374,1.0
8876,-6.192345448046255,-5.902181914660073,1.0
8902,-33.63076716519201,-33.49873151056024,12.0
9099,-5.483108766235657,-5.697912182433459,1.0
9163,-5.950232496411106,-5.789685494183514,1.0
9230,-21.913795826609917,-18.20984086720814,5.0
9264,-19.347896993863802,-19.452250390460428,4.0
9279,-18.345747078630573,-17.842736694020456,3.0
9431,-211.41246637091453,-209.61201316601674,115.0
9434,-14.375018151817365,-14.19483392889715,4.0
9567,-2.5456903814941145,-2.196660048638711,0.0
9591,-33.832657618951714,-34.688994977053916,9.0
9772,-6.767960914120288,-6.422889936781977,1.0
10022,-78.14242717891167,-76.68365397646323,32.0
10139,-8.453172919754861,-8.718255012672243,2.0
10299,-74.20434210149013,-75.67340664027977,29.0
10407,-34.02254617461376,-34.29241981137361,12.0
10415,-5.195797624980317,-4.9606499794168935,1.0
10436,-2.6962044038150594,-2.5086450184433073,0.0
10446,-23.357419165582375,-23.063103577968363,6.0
10503,-15.324127925205717,-14.504436528040564,1.0
10542,-0.5701933964141045,-0.5929371445313814,0.0
10667,-35.821286593075776,-36.17011819653924,15.0
10714,-5.000463482489423,-4.930900208413024,1.0
10761,-3.303636120215332,-3.042784325950612,0.0
10954,-5.191352690689291,-5.095193868674197,1.0
11028,-5.0067669990285335,-4.978299455513236,1.0
11085,-29.688508499733953,-29.534650888926805,9.0
11355,-69.44917249722343,-47.84769114988287,12.0
11500,-52.838533672218674,-53.67618316213788,20.0
11667,-18.765131416278884,-18.12965652641528,5.0
11865,-14.931134795487521,-15.15887372631042,4.0
11961,-10.203433315416511,-10.518973594682143,2.0
12020,-5.182648566213634,-5.298549334054923,1.0
12048,-36.11499262130376,-34.28333927673342,11.0
