user_id,ll_personalized_poisson,ll_e1,test_purchases,ll_e12
59,-14.687319241571943,-13.378922890233584,2.0,-13.575218746327868
137,-5.774783782284581,-5.68944777496275,1.0,-5.767673685209436
267,-2.9999202620151957,-2.5940462014739736,0.0,-2.709350230302632
306,-26.63875158266729,-26.598652451054964,6.0,-26.552527433872715
341,-11.77816555317166,-11.384211034750397,2.0,-11.557281940182358
418,-9.471951318181034,-7.830849176667836,2.0,-7.8064453525399
801,-2.088772687414786,-2.6146621375802983,0.0,-2.712788997743819
961,-3.911067836615605,-3.5486958625450433,0.0,-3.7106709381295673
996,-44.55057546920792,-45.83199797311059,17.0,-45.86366734680585
1042,-0.6250334561147853,-0.5411947623210989,0.0,-0.5663705009626151
1160,-26.550353115128026,-25.114231256720135,9.0,-25.068458085943615
1267,-6.439775386085863,-5.935840328281467,1.0,-6.044071135959012
1353,-1.7850568292146498,-3.4933608879662637,0.0,-3.596342640446866
1378,-7.5379089290637165,-7.361445529136726,1.0,-7.45494744998716
1553,-32.598627536875796,-33.21154822920561,13.0,-33.16100258973026
1748,-23.877590651471593,-23.25756195911965,7.0,-23.13450183956623
1881,-1.4885543858120809,-1.3831130976125128,0.0,-1.444386602383001
1887,-17.68887449928371,-18.053408866777204,5.0,-18.01680702025295
1933,-26.213978311673323,-25.994905162759657,8.0,-26.347107180822256
2209,-8.63400447097368,-8.718806520463797,2.0,-8.64924474443054
2232,-44.16006410991499,-44.4668473486573,16.0,-44.47330069998105
2249,-5.8609970023514695,-5.762566604477783,1.0,-5.783210113482026
2293,-16.929521109861703,-17.574196324904964,6.0,-17.43957230284009
2340,-4.969887973140411,-5.174081304750643,1.0,-5.130802397933869
2596,-22.73923454650528,-22.761845228726315,4.0,-22.47712364110592
2647,-28.638014556680233,-28.543341368768072,9.0,-28.543898371423182
2740,-4.874564710645547,-4.971336367469981,1.0,-4.948639437024028
2807,-8.861711304089756,-8.080631279830708,1.0,-8.271602184934483
2812,-11.9321917419481,-12.24558366642079,3.0,-12.223215903174236
2873,-4.2147836948157416,-3.938169437783692,0.0,-4.091648253417782
3001,-124.43414258936586,-122.11479722303967,85.0,-121.74118444834038
3042,-7.630290971663316,-7.299499626961685,1.0,-7.38862711937467
3325,-14.51324223772237,-13.282872914147148,4.0,-13.268355239973356
3367,-15.819124878463024,-14.896942252922477,3.0,-14.706883820577952
3485,-29.52051746242913,-28.536127955389393,9.0,-28.64381798359501
3552,-3.607351978415468,-3.3452894952386028,0.0,-3.4751925261932604
3631,-2.3924885456149223,-2.1118544539082795,0.0,-2.216072221401354
3733,-16.68064730925622,-16.553500543735115,4.0,-16.607945430152597
3761,-2.3924885456149223,-2.203420256107226,0.0,-2.299577301104585
3774,-2.797533821828502,-2.3523464099410294,0.0,-2.464255459971893
3883,-8.818588366347269,-8.62449767281286,2.0,-8.674699222179342
3896,-28.165199583359534,-28.555566760336628,8.0,-28.24612177748581
3905,-24.353507360308427,-25.780100462072753,4.0,-25.56583955311064
3952,-27.143442819804175,-27.57262184585144,8.0,-27.40791751929883
3955,-17.42636336177284,-15.245577371824483,4.0,-15.388816289044165
3956,-21.921513250965788,-21.31626881049508,7.0,-21.42228727331827
3979,-5.988400958606176,-5.754291436017925,1.0,-5.808196860192025
4073,-22.485901735724973,-22.293436086394987,6.0,-22.17663862876754
4344,-2.9999202620151957,-2.751818316368048,0.0,-2.8721468364156713
4453,-5.277973242871076,-5.359166836632503,1.0,-5.380417451952399
4650,-28.56507576878199,-26.582773237631702,7.0,-26.480379452114832
4711,-39.259679225078074,-39.193645567080665,17.0,-39.269764170596225
4730,-101.8603591529457,-95.71323026695252,32.0,-98.90406259082674
4753,-12.389515549309428,-13.07656445041562,3.0,-13.076243509473926
4892,-11.669179003334763,-12.04307796640498,3.0,-12.058622633178798
5010,-40.53520015067958,-41.01898290059376,17.0,-41.001563596066575
5020,-30.2030412718843,-29.370908874651512,10.0,-29.150954502779705
5043,-12.630130779639511,-13.494684739279723,3.0,-13.426466960616947
5120,-6.5210370084587606,-6.275603629108535,1.0,-6.346735581304989
5331,-19.400186661301863,-19.82724111888015,5.0,-19.64042247022452
5340,-31.696198026658017,-30.965822510671888,11.0,-30.791538462059485
5552,-40.22918530332982,-38.87349943533074,12.0,-39.01428444923572
5568,-18.84248702587036,-17.692581309047668,5.0,-17.415074192540516
5761,-10.563628095559404,-10.37429928144702,2.0,-10.47720997204054
5867,-29.168185744729485,-30.22597452936078,7.0,-29.95987868639108
5887,-5.5060413400389585,-5.249474419993307,1.0,-5.209161378213437
5912,-34.623289815674035,-35.263779061642076,13.0,-35.215169311607156
5932,-5.133080292239298,-5.228436595931204,1.0,-5.202957674066937
6321,-12.18815544095702,-12.689196451763836,3.0,-12.575734033867487
6350,-45.44070525746752,-45.58502971399339,20.0,-45.54911852946437
6411,-1.177625112814377,-1.1145734629697688,0.0,-1.0751812032720984
6442,-17.789061651299,-17.555890344809253,5.0,-17.56130845711398
6713,-9.684178208595084,-10.31674672959796,2.0,-10.152983091491985
6977,-6.644510560416832,-5.5349225001260995,0.0,-5.757736350139429
7070,-90.04579834976215,-80.56444801158739,30.0,-83.27290419955726
7235,-51.08541147911113,-50.123771629327955,23.0,-49.746364741643575
7261,-26.460803480179848,-24.351732716073585,8.0,-24.161892562395657
7388,-62.26557720324157,-48.16142305620454,14.0,-50.59658201855821
7395,-24.2993948944948,-24.07304563931517,8.0,-24.051249903115007
7398,-1.7850568292146498,-1.4906981789833451,0.0,-1.5621418429374858
7409,-32.32504430941826,-27.04985035891123,8.0,-27.504336845357297
7438,-8.424544709914263,-7.857611558843908,2.0,-7.808021667064593
7613,-67.94442790798222,-68.21813296111978,29.0,-68.69507297327485
7733,-15.525234965469908,-15.448644897734177,4.0,-15.397147299673216
7766,-4.639467012541562,-4.825535034167742,1.0,-4.772983220878374
7802,-21.907898006288804,-22.149739686978805,6.0,-22.17172881046644
7841,-0.8739092546142408,-0.9338573787622378,0.0,-0.9725007354541604
7900,-15.183423269236169,-15.32682696616037,4.0,-15.296768729975842
7923,-11.57525852492742,-11.493600766107097,3.0,-11.451017412474815
7949,-5.947624432298755,-5.903942862905569,1.0,-5.937634610020036
8108,-18.202881711478245,-18.76246082202676,5.0,-18.764611494135085
8203,-12.661871482582091,-12.793200388912975,3.0,-12.812853311981309
8344,-36.66600597428199,-37.41962636418059,14.0,-37.44154296202606
8403,-8.723145044920681,-8.873487856074767,2.0,-8.874318178924389
8585,-14.097597008632617,-12.09161490434628,3.0,-12.133609267826603
8616,-14.871986423197344,-14.015760220510284,4.0,-13.932991433436689
8766,-9.096472978926675,-8.674122436289998,2.0,-8.607858603612572
8863,-4.9791700905721905,-4.302082804286383,1.0,-4.358855988451961
8866,-5.256974699460587,-5.242731697742955,1.0,-5.269062547627233
8876,-6.192345448046255,-5.883096970337586,1.0,-5.896065316939115
8902,-33.63076716519201,-33.713221781379225,12.0,-33.48817896534047
9099,-5.483108766235657,-5.674195178819527,1.0,-5.6984188520686185
9163,-5.950232496411106,-5.708452791368922,1.0,-5.79079319697768
9230,-21.913795826609917,-17.974405584495774,5.0,-18.199751633842094
9264,-19.3478969938638,-19.68191785778561,4.0,-19.457947787235
9279,-18.345747078630573,-17.496732903437703,3.0,-17.84082165849018
9431,-211.41246637091453,-209.23571273780607,115.0,-209.63680983121023
9434,-14.375018151817365,-14.08651553617854,4.0,-14.194927420903372
9567,-2.5456903814941145,-2.1219055458405163,0.0,-2.196676436875292
9591,-33.832657618951714,-35.14348431901407,9.0,-34.6931139585214
9772,-6.767960914120288,-6.494935002232218,1.0,-6.42336868374355
10022,-78.14242717891167,-76.51037416338652,32.0,-76.68847681467817
10139,-8.453172919754861,-8.7908385846094,2.0,-8.718861369308714
10299,-74.20434210149013,-75.26042364335514,29.0,-75.66774976646472
10407,-34.02254617461376,-34.38299871463019,12.0,-34.276567789432875
10415,-5.195797624980317,-4.995806269093473,1.0,-4.9647139570254035
10436,-2.696204403815059,-2.4077618911597556,0.0,-2.5085044119557303
10446,-23.357419165582375,-23.23523439577875,6.0,-23.066391806405903
10503,-15.324127925205715,-14.079203994508172,1.0,-14.504356592382464
10542,-0.5701933964141045,-0.5689896025507651,0.0,-0.5925745930831168
10667,-35.821286593075776,-36.14722151069891,15.0,-36.16648854696902
10714,-5.000463482489423,-4.977006241438755,1.0,-4.931446395843046
10761,-3.303636120215332,-2.939888609029239,0.0,-3.049661763224208
10954,-5.191352690689291,-5.093245000242468,1.0,-5.095703149737755
11028,-5.0067669990285335,-4.986723186132502,1.0,-4.979017423934268
11085,-29.688508499733953,-29.522605499445135,9.0,-29.53796016625836
11355,-69.44917249722343,-45.2189160394968,12.0,-47.82962535261986
11500,-52.838533672218674,-53.08679155594105,20.0,-53.67205303533448
11667,-18.765131416278884,-18.062288772363907,5.0,-18.129425477788036
11865,-14.93113479548752,-15.150471144278423,4.0,-15.160106720650385
11961,-10.203433315416513,-10.45506567513266,2.0,-10.519389088459514
12020,-5.182648566213634,-5.299109606069158,1.0,-5.298806348819785
12048,-36.11499262130376,-33.94185187828224,11.0,-34.283478667413924
12174,-47.20737642865931,-46.34809562130915,16.0,-46.401783126341606
12187,-9.54134161759658,-9.4766614075223,2.0,-9.489156761523969
12192,-1.4813409710145136,-2.1274751383659902,0.0,-2.157575727626736
12396,-36.76212388949158,-37.36632646618719,14.0,-37.246241459089354
12435,-23.29852164823383,-22.262448942464083,6.0,-21.88039842704797
12467,-27.78166364900443,-26.109317494086977,6.0,-26.472027645556533
12492,-61.926569415446814,-56.728758021863776,18.0,-56.03186578908425
12505,-0.8328237676963033,-0.752474546883872,0.0,-0.786535719377925
12519,-60.73480453336989,-61.21898478473325,23.0,-61.0507389071873
12547,-18.904618117636648,-18.947777965965727,6.0,-18.88984366087052
12905,-10.707244630562826,-11.002002077816208,2.0,-11.047652376911127
13012,-25.786507619656486,-23.57162369611387,7.0,-23.891172147050657
13187,-66.18340134135717,-66.13607147354087,29.0,-65.92871244891639
13403,-53.031037777193845,-52.93614989605934,22.0,-52.797070055931606
13435,-14.97354729927397,-14.964101554505252,4.0,-14.945427880859002
13442,-5.186417438041745,-5.47439062354698,1.0,-5.410974716910661
13495,-8.477461826801866,-8.667608362700566,2.0,-8.60118762256689
13629,-37.37331804402129,-37.29827079557577,14.0,-37.20898560925424
13731,-16.449016013350224,-16.48009535561275,4.0,-16.35230504677008
13742,-3.911067836615605,-3.2480549270465313,0.0,-3.3715823495061823
13915,-13.90156607132117,-13.331493053213268,3.0,-13.43564551982681
13985,-18.720601625349705,-18.11682619860369,5.0,-18.014233190991906
