setting_label,n,mean_nll,median_nll,mean_delta,mean_c,median_c,mean_alpha_norm,median_alpha_norm,degenerate_share
"A: default (1e-4, 10.0)",3,0.35501630537963175,0.366597243894639,-0.004289669014953849,0.9320038780832585,0.9337885962346135,0.007256046346650495,0.006709291907916745,0.0
"B: alpha_l2=0, scale_l2=10.0",3,0.35501630548034163,0.36659724419028394,-0.0042896689142439826,0.9320038803693916,0.9337886026380975,0.007256045321553222,0.006709288730748675,0.0
"C: alpha_l2=1e-4, scale_l2=0.1",3,0.3550152920391432,0.3665959671164084,-0.004290682355442314,0.9319414224915983,0.9337246041494924,0.007271431552422623,0.0067376969323537355,0.0
"D: alpha_l2=1e-4, scale_l2=0.0",3,0.35500275319202795,0.36655749456867226,-0.004303221202557568,0.9317015471322464,0.9329591423281366,0.007590238454471071,0.007704839619438673,0.0
E: no regularization,3,0.3550027531680917,0.36655749456323344,-0.004303221226493903,0.9317015461485473,0.9329591420987284,0.007590238668816584,0.007704839715429382,0.0
"F: warm-start from ch.6, no reg",3,0.3550154636344047,0.36659576368761215,-0.0042905107601808505,0.9319675405807694,0.9337380624685127,0.00726824253698202,0.006738773081211277,0.0
