setting_label,n,mean_nll,median_nll,mean_delta,mean_c,median_c,mean_alpha_norm,median_alpha_norm,degenerate_share
"A: default (1e-4, 10.0)",2,0.33671075595138666,0.33671075595138666,-0.005336959596745711,0.9057807756924986,0.9057807756924986,0.011610608059443538,0.011610608059443538,0.0
"B: alpha_l2=0, scale_l2=10.0",2,0.33671075595382594,0.33671075595382594,-0.005336959594306467,0.9057807762539997,0.9057807762539997,0.011610607766437814,0.011610607766437814,0.0
"C: alpha_l2=1e-4, scale_l2=0.1",2,0.33671024722719434,0.33671024722719434,-0.00533746832093801,0.90573302247466,0.90573302247466,0.0116420643214321,0.0116420643214321,0.0
"D: alpha_l2=1e-4, scale_l2=0.0",2,0.3367103532988015,0.3367103532988015,-0.005337362249330874,0.9057678603366915,0.9057678603366915,0.01164578543408528,0.01164578543408528,0.0
E: no regularization,2,0.3367103532942989,0.3367103532942989,-0.005337362253833494,0.905767862694592,0.905767862694592,0.011645784708622013,0.011645784708622013,0.0
"F: warm-start from ch.6, no reg",2,0.33671024100443203,0.33671024100443203,-0.005337474543700316,0.905753541180115,0.905753541180115,0.011644900648468615,0.011644900648468615,0.0
