alpha_to_ord_to_ord,train_nll_mean,alpha_searches,alpha_to_cart,lam_u_mean,lam_u_std,lam_u_floor_share,test_nll_mean,mean_baseline_train,mean_hawkes_train,mean_baseline_test,mean_hawkes_test,train_loss_total,converged,n_iter
0.0,0.31534488015921386,0.0060670470016982924,0.010371208275803425,0.7143433414638316,0.944885501997237,0.06752960064218343,0.4008725777331039,0.07354765699987735,0.022348200508154486,0.09192138559667508,0.025719153822323145,539472.1825061864,True,5
0.01,0.31512331860497783,0.005874094584607831,0.008654874878252857,0.714327847198131,0.944877123358566,0.06793096528195866,0.40032248369569273,0.07354602730753139,0.022647082105515342,0.09191940117690596,0.026243191307889446,539031.8450856569,True,233
0.02,0.31522758623392466,0.005639949255687603,0.007097233777081946,0.7144052370966043,0.9263784931318025,0.06311458960465582,0.39979659579796506,0.07353410171094488,0.02296559211962658,0.0919462953403769,0.026796150441054656,538893.6163224495,True,31
0.03,0.3152030819373682,0.0054664542054328755,0.005924947889819469,0.713149160832635,0.9236229922313797,0.0628135661248244,0.3992559691374721,0.0734065720006765,0.023718193212174152,0.09178488593930927,0.027856463510781714,538801.2859359436,True,13
0.04,0.31528644362025576,0.005378340903314908,0.005011591794678399,0.7041562981271198,0.9151444054227915,0.0628135661248244,0.3989284029067779,0.07247547245523286,0.024869802298333344,0.09062838527630354,0.02937909268028701,538863.7863517684,True,7
0.05,0.31545391109383775,0.005286791298903643,0.004123798760925573,0.6964083815399101,0.9057927170106226,0.06211117800521774,0.39878360393674467,0.07167446523862987,0.026032267374509806,0.08963347138171154,0.030915084251327093,539073.1396001301,True,6
0.06,0.31567036214471533,0.005154187632423227,0.003308387562566276,0.6922214619414324,0.8965655307113938,0.06030503712622918,0.3990971007308454,0.07125555639447549,0.027150138072257704,0.08909903281672053,0.03240369528476949,539363.0213327875,True,39
0.07,0.3159256693348198,0.004979132697402219,0.0026577467651615447,0.6922361517864106,0.8959658462128467,0.06030503712622918,0.39908088308484396,0.07125766895372743,0.02828915707466969,0.08910137777971724,0.033923204563252686,539859.5424701925,True,8
0.08,0.31629448766932117,0.004818334512954508,0.001995946021477371,0.6889220536662709,0.8877780868628282,0.058699578567128236,0.3991225765307537,0.07091399033675182,0.029454115692782182,0.0886775714843418,0.03547158406456121,540467.3133758507,True,6
0.09,0.31676833749617533,0.004679267419688542,0.001451494141944039,0.6839044094510472,0.8719823835958154,0.057796508127633955,0.39938882569008816,0.07039780363862509,0.03075910873306334,0.08803719019651424,0.037183337212785654,541163.2474120776,True,7
0.1,0.3172167894031313,0.004522246413741047,0.0010337887560805251,0.6832637565887174,0.8676223590340635,0.056592414208308246,0.3996263622429345,0.07033288493153117,0.03211572470653212,0.08795575078189988,0.038958851526132675,541982.8231836479,True,6
