half_lives,n_alpha_dims,n_params,c,alpha_norm,train_poisson_loglik,train_mean_poisson_nll,test_poisson_loglik,test_mean_poisson_nll,test_mean_poisson_deviance,test_mae,test_rmse,test_aggregate_bias,test_relative_aggregate_bias,delta_loglik_vs_personalized,converged
[1.0],5,6,0.4620037670701219,0.1046691111715476,-695624.358800309,0.3500678415370988,-213296.5225646772,0.4156870789266352,0.6590322252972715,0.22231617390767558,0.6389110085156477,-0.004371694660467551,-0.03375510075674951,-3129.5100572435476,True
"[1.0, 3.0]",10,11,0.300321004076078,0.07864906558941667,-671642.4773015901,0.33799913608415333,-206534.59895714422,0.4025089725114773,0.6326760124669557,0.218660560051391,0.6318058149446086,-0.004272296744798315,-0.032987621113496686,3632.413550289435,True
"[1.0, 3.0, 7.0, 21.0]",20,21,0.16806659713519642,0.02513849297489476,-648439.3485539615,0.3263223322246704,-199946.22764067657,0.389669096856233,0.6069962611564671,0.22135343448976857,0.6246993807305649,0.0030087609062230403,0.023231500694896608,10220.78486675708,True
