user_id,ll_pooled,ll_pers,test_purchases,delta_ll
59,-9.607325117510879,-14.687319241571945,2.0,5.079994124061066
137,-6.0744095185017954,-5.774783782284581,1.0,-0.2996257362172141
267,-2.552412076365918,-2.9999202620151957,0.0,0.44750818564927775
306,-24.86037800538343,-26.63875158266729,6.0,1.7783735772838583
341,-10.485894671060901,-11.778165553171661,2.0,1.2922708821107598
418,-8.154917670451532,-9.471951318181034,2.0,1.3170336477295024
801,-4.623676923894357,-2.088772687414786,0.0,-2.534904236479571
961,-3.017162890465578,-3.911067836615605,0.0,0.8939049461500268
996,-52.42972729944059,-44.55057546920792,17.0,-7.879151830232672
1042,-2.120258881346213,-0.6250334561147853,0.0,-1.4952254252314279
1160,-23.787391937099237,-26.550353115128022,9.0,2.7629611780287853
1267,-5.215387581733562,-6.439775386085863,1.0,1.2243878043523004
1353,-8.286425634409166,-1.7850568292146498,0.0,-6.501368805194517
1378,-7.120893032867082,-7.5379089290637165,1.0,0.4170158961966344
1553,-34.73568729236644,-32.598627536875796,13.0,-2.1370597554906468
1748,-24.48806931787719,-23.877590651471593,7.0,-0.6104786664055979
1881,-2.602804767366448,-1.4885543858120807,0.0,-1.1142503815543674
1887,-19.304561023505006,-17.68887449928371,5.0,-1.6156865242212959
1933,-24.85598658141723,-26.213978311673323,8.0,1.3579917302560922
2209,-9.312625145953739,-8.63400447097368,2.0,-0.6786206749800581
2232,-54.67166969734925,-44.16006410991499,16.0,-10.51160558743426
2249,-6.011769322309105,-5.8609970023514695,1.0,-0.1507723199576354
2293,-20.649635297437456,-16.929521109861703,6.0,-3.720114187575753
2340,-5.955466184680228,-4.969887973140411,1.0,-0.9855782115398171
2596,-20.380146831381534,-22.73923454650528,4.0,2.3590877151237457
2647,-31.494387434438014,-28.638014556680233,9.0,-2.8563728777577815
2740,-6.540901482556638,-4.874564710645547,1.0,-1.6663367719110909
2807,-6.1292255122223205,-8.861711304089756,1.0,2.7324857918674352
2812,-13.046787470431704,-11.9321917419481,3.0,-1.1145957284836037
2873,-3.8044437349147273,-4.2147836948157416,0.0,0.41033995990101424
3001,-131.76074552751925,-124.43414258936586,85.0,-7.3266029381533855
3042,-6.76553686765159,-7.630290971663316,1.0,0.8647541040117259
3325,-12.487745931956683,-14.51324223772237,4.0,2.025496305765687
3367,-13.745334165065634,-15.819124878463025,3.0,2.0737907133973916
3485,-29.149631628776433,-29.520517462429126,9.0,0.370885833652693
3552,-3.1490143665881196,-3.607351978415468,0.0,0.45833761182734856
3631,-2.4254133679064354,-2.3924885456149223,0.0,-0.032924822291513056
3733,-16.106834307301092,-16.68064730925622,4.0,0.5738130019551271
3761,-2.721884176665019,-2.3924885456149223,0.0,-0.3293956310500965
3774,-2.258079622427113,-2.797533821828502,0.0,0.5394541994013893
3883,-8.802946537677535,-8.818588366347269,2.0,0.01564182866973418
3896,-30.64540279014811,-28.165199583359534,8.0,-2.480203206788577
3905,-19.84347838533612,-24.353507360308427,4.0,4.5100289749723075
3952,-31.999792946731958,-27.143442819804175,8.0,-4.856350126927783
3955,-14.595309259203404,-17.42636336177284,4.0,2.8310541025694356
3956,-21.41413165804323,-21.921513250965788,7.0,0.507381592922556
3979,-5.699836249234184,-5.988400958606176,1.0,0.2885647093719923
4073,-24.06981515937462,-22.485901735724973,6.0,-1.5839134236496477
4344,-2.9967773547969583,-2.9999202620151957,0.0,0.0031429072182374007
4453,-6.150256097855348,-5.277973242871076,1.0,-0.872282854984272
4650,-24.771918258608533,-28.56507576878199,7.0,3.793157510173458
4711,-41.37493009275235,-39.259679225078074,17.0,-2.115250867674277
4730,-90.36497008721362,-101.8603591529457,32.0,11.495389065732084
4753,-14.305183235671269,-12.389515549309428,3.0,-1.9156676863618411
4892,-12.389460815626379,-11.669179003334765,3.0,-0.7202818122916135
5010,-45.566374328912886,-40.53520015067958,17.0,-5.031174178233307
5020,-29.20656612909682,-30.2030412718843,10.0,0.9964751427874781
5043,-15.324683909934851,-12.630130779639513,3.0,-2.694553130295338
5120,-6.228371055529695,-6.5210370084587606,1.0,0.29266595292906583
5331,-21.00630921082407,-19.400186661301863,5.0,-1.6061225495222082
5340,-31.481593374953686,-31.696198026658017,11.0,0.21460465170433096
5552,-35.535275246351354,-40.22918530332982,12.0,4.693910056978467
5568,-18.216830222357842,-18.842487025870362,5.0,0.6256568035125198
5761,-9.828367668713899,-10.563628095559405,2.0,0.7352604268455067
5867,-30.406713523492474,-29.168185744729485,7.0,-1.2385277787629896
5887,-5.716977722530247,-5.5060413400389585,1.0,-0.21093638249128865
5912,-39.3965407958532,-34.623289815674035,13.0,-4.773250980179164
5932,-5.92791398768354,-5.133080292239298,1.0,-0.7948336954442414
6321,-13.576264061426127,-12.18815544095702,3.0,-1.3881086204691062
6350,-48.43678587114522,-45.44070525746752,20.0,-2.996080613677698
6411,-2.6812608031159457,-1.177625112814377,0.0,-1.5036356903015686
6442,-17.966796801163056,-17.789061651299,5.0,-0.17773514986405559
6713,-10.82895580729027,-9.684178208595085,2.0,-1.1447775986951854
6977,-2.3976146213723375,-6.644510560416832,0.0,4.246895939044495
7070,-69.79314176797733,-90.04579834976215,30.0,20.25265658178482
7235,-53.147209257064226,-51.08541147911113,23.0,-2.061797777953096
7261,-22.494422441692922,-26.460803480179848,8.0,3.966381038486926
7388,-38.58426584734763,-62.26557720324157,14.0,23.68131135589394
7395,-25.979701857611335,-24.2993948944948,8.0,-1.6803069631165357
7398,-2.132577266299395,-1.7850568292146498,0.0,-0.3475204370847451
7409,-22.674709279217595,-32.32504430941826,8.0,9.650335030200665
7438,-7.613134694279914,-8.424544709914263,2.0,0.8114100156343493
7613,-75.51684160837442,-67.94442790798222,29.0,-7.572413700392204
7733,-16.505226836973254,-15.525234965469908,4.0,-0.979991871503346
7766,-4.988391066896105,-4.639467012541562,1.0,-0.34892405435454243
7802,-22.57066233246679,-21.907898006288804,6.0,-0.6627643261779852
7841,-2.7102918349375025,-0.8739092546142408,0.0,-1.8363825803232616
7900,-16.09076020424705,-15.183423269236169,4.0,-0.907336935010882
