user_id,ll_joint,ll_pers,test_purchases,delta_ll
59,-12.304288326641867,-14.687319241571945,2.0,2.383030914930078
137,-5.184177075399618,-5.774783782284581,1.0,0.5906067068849632
267,-2.397629680903958,-2.9999202620151957,0.0,0.6022905811112378
306,-27.449601125290492,-26.63875158266729,6.0,-0.8108495426232025
341,-11.942966076275098,-11.778165553171661,2.0,-0.1648005231034375
418,-7.6428939227397255,-9.471951318181034,2.0,1.8290573954413087
801,-2.410860850588833,-2.088772687414786,0.0,-0.3220881631740471
961,-2.4384619805514065,-3.911067836615605,0.0,1.4726058560641984
996,-46.22626118203426,-44.55057546920792,17.0,-1.6756857128263363
1042,-0.427196194635858,-0.6250334561147853,0.0,0.19783726147892733
1160,-24.637601603573728,-26.550353115128022,9.0,1.9127515115542941
1267,-5.4828883648253495,-6.439775386085863,1.0,0.9568870212605134
1353,-4.007165215351317,-1.7850568292146498,0.0,-2.222108386136667
1378,-7.684564382537174,-7.5379089290637165,1.0,-0.14665545347345788
1553,-33.66602594977197,-32.598627536875796,13.0,-1.0673984128961749
1748,-23.698959723748295,-23.877590651471593,7.0,0.17863092772329736
1881,-1.1953415342260985,-1.4885543858120807,0.0,0.2932128515859822
1887,-18.618058389359064,-17.68887449928371,5.0,-0.929183890075354
1933,-26.983359738030117,-26.213978311673323,8.0,-0.7693814263567944
2209,-8.923668061065818,-8.63400447097368,2.0,-0.2896635900921378
2232,-45.23328853539507,-44.16006410991499,16.0,-1.0732244254800776
2249,-5.830878169958094,-5.8609970023514695,1.0,0.030118832393375428
2293,-17.00129202397438,-16.929521109861703,6.0,-0.07177091411267611
2340,-5.482882570639344,-4.969887973140411,1.0,-0.512994597498933
2596,-20.07259046391312,-22.73923454650528,4.0,2.6666440825921605
2647,-29.220723468609776,-28.638014556680233,9.0,-0.5827089119295437
2740,-5.061007705847392,-4.874564710645547,1.0,-0.18644299520184493
2807,-8.176175809467153,-8.861711304089756,1.0,0.6855354946226022
2812,-12.431761155019867,-11.9321917419481,3.0,-0.4995694130717663
2873,-3.3539254695673684,-4.2147836948157416,0.0,0.8608582252483732
3001,-130.98459087379769,-124.43414258936586,85.0,-6.550448284431823
3042,-7.507967614900501,-7.630290971663316,1.0,0.12232335676281458
3325,-12.702237998990576,-14.51324223772237,4.0,1.811004238731794
3367,-14.872841846456001,-15.819124878463025,3.0,0.9462830320070239
3485,-28.756502485129285,-29.520517462429126,9.0,0.7640149772998406
3552,-2.408657285769337,-3.607351978415468,0.0,1.1986946926461313
3631,-1.3854032694302343,-2.3924885456149223,0.0,1.007085276184688
3733,-17.521009129977685,-16.68064730925622,4.0,-0.8403618207214656
3761,-1.6941427210469626,-2.3924885456149223,0.0,0.6983458245679597
3774,-1.5871484411245103,-2.797533821828502,0.0,1.210385380703992
3883,-8.4074424850033,-8.818588366347269,2.0,0.4111458813439697
3896,-29.299007436710315,-28.165199583359534,8.0,-1.1338078533507812
3905,-31.42499460968425,-24.353507360308427,4.0,-7.071487249375824
3952,-28.157993442164674,-27.143442819804175,8.0,-1.014550622360499
3955,-15.384525995522777,-17.42636336177284,4.0,2.0418373662500624
3956,-21.242096185540163,-21.921513250965788,7.0,0.6794170654256249
3979,-5.582673274307137,-5.988400958606176,1.0,0.4057276842990394
4073,-22.463627675830686,-22.485901735724973,6.0,0.022274059894286324
4344,-2.173232401053824,-2.9999202620151957,0.0,0.8266878609613717
4453,-5.369983105639495,-5.277973242871076,1.0,-0.0920098627684185
4650,-25.997343393740675,-28.56507576878199,7.0,2.5677323750413166
4711,-39.28714736164882,-39.259679225078074,17.0,-0.027468136570746537
4730,-93.05332204574187,-101.8603591529457,32.0,8.80703710720384
4753,-13.387082021210981,-12.389515549309428,3.0,-0.9975664719015533
4892,-12.35426110751283,-11.669179003334765,3.0,-0.6850821041780648
5010,-41.639363220030106,-40.53520015067958,17.0,-1.1041630693505269
5020,-28.799976971952933,-30.2030412718843,10.0,1.4030642999313656
5043,-14.282138730331571,-12.630130779639513,3.0,-1.6520079506920577
5120,-6.540707503820954,-6.5210370084587606,1.0,-0.019670495362193563
5331,-21.192676541218248,-19.400186661301863,5.0,-1.7924898799163849
5340,-30.478565333315814,-31.696198026658017,11.0,1.2176326933422033
5552,-37.268348505338835,-40.22918530332982,12.0,2.9608367979909858
5568,-18.2020387806389,-18.842487025870362,5.0,0.640448245231461
5761,-10.365276962576683,-10.563628095559405,2.0,0.19835113298272233
5867,-32.2178293941423,-29.168185744729485,7.0,-3.0496436494128147
5887,-7.188664981262729,-5.5060413400389585,1.0,-1.6826236412237705
5912,-36.578933296451986,-34.623289815674035,13.0,-1.955643480777951
5932,-5.3238152468310105,-5.133080292239298,1.0,-0.1907349545917123
6321,-13.49998711400357,-12.18815544095702,3.0,-1.3118316730465498
6350,-45.651209025791246,-45.44070525746752,20.0,-0.21050376832372564
6411,-1.024574977291278,-1.177625112814377,0.0,0.1530501355230991
6442,-18.659525716720292,-17.789061651299,5.0,-0.8704640654212916
6713,-10.909669182287224,-9.684178208595085,2.0,-1.225490973692139
6977,-6.880511472038881,-6.644510560416832,0.0,-0.23600091162204873
7070,-74.09517077679948,-90.04579834976215,30.0,15.950627572962674
7235,-49.28209858904808,-51.08541147911113,23.0,1.8033128900630473
7261,-23.549546290485377,-26.460803480179848,8.0,2.911257189694471
7388,-46.26763667072604,-62.26557720324157,14.0,15.997940532515528
7395,-23.96634653631276,-24.2993948944948,8.0,0.33304835818204026
7398,-1.0267481682409803,-1.7850568292146498,0.0,0.7583086609736696
