event_date,to_ord,personalized_poisson_prediction,hawkes_prediction,hawkes_excitation,split
2025-01-15,0.09952153110047847,0.11420021667300956,0.12344296053744266,0.009242743864433094,train
2025-01-16,0.11199148533585619,0.11249652756060698,0.12174142204780374,0.009244894487196762,train
2025-01-17,0.08916227299355595,0.10300782975301244,0.11259430376165014,0.0095864740086377,train
2025-01-18,0.09186046511627907,0.10139202185599605,0.11036454404351694,0.00897252218752087,train
2025-01-19,0.09551274656823162,0.10892288439530898,0.11788395804757923,0.008961073652270253,train
2025-01-20,0.08030285648732362,0.10277328792287269,0.11199486385672093,0.009221575933848238,train
2025-01-21,0.08255309431377027,0.10136342003828847,0.11013824104858111,0.008774821010292654,train
2025-01-22,0.09361508748011815,0.09864129175614889,0.10717092384542903,0.008529632089280152,train
2025-01-23,0.08086070215175538,0.09854787866151314,0.10722079877021462,0.008672920108701479,train
2025-01-24,0.08502710027100271,0.08545152223424098,0.09405908272349517,0.00860756048925421,train
2025-01-25,0.08890389376547378,0.08652949948597753,0.0948515802171828,0.00832208073120526,train
2025-01-26,0.10057181298351833,0.09429749473218847,0.1027233550331039,0.008425860300915427,train
2025-01-27,0.08232662192393736,0.09059810129185188,0.09956215216458283,0.00896405087273096,train
2025-01-28,0.08576845862145885,0.09297484781880272,0.10155663180021911,0.008581783981416386,train
2025-01-29,0.08314806580702534,0.09249345038459755,0.10105416068215184,0.008560710297554286,train
2025-01-30,0.09010306993239499,0.09172717834256593,0.10018233888194704,0.008455160539381109,train
2025-01-31,0.07448810182623132,0.08490697242667793,0.09339283998552296,0.008485867558845029,train
2025-02-01,0.09474381625441695,0.08513862228029778,0.09321310251364333,0.008074480233345551,train
2025-02-02,0.08392994823218417,0.0940789236382754,0.10252814012445594,0.008449216486180541,train
2025-02-03,0.08491706030978798,0.0871578133043551,0.09588492735397058,0.008727114049615497,train
2025-02-04,0.08455801710901513,0.08959141025281893,0.09810499652513763,0.00851358627231871,train
2025-02-05,0.08592381786339755,0.08857115274962161,0.09692522214850792,0.008354069398886313,train
2025-02-06,0.08925259138025095,0.08974991184104673,0.0980851460751638,0.008335234234117079,train
2025-02-07,0.087070091423596,0.08171396498663096,0.09011302107128437,0.008399056084653404,train
2025-02-08,0.0951346655082537,0.08512945277390918,0.09345527957248025,0.008325826798571051,train
2025-02-09,0.09790740539954462,0.09327113650159154,0.1019520096894044,0.008680873187812868,train
2025-02-10,0.09883091578263693,0.09104915806780314,0.10002249323861082,0.008973335170807673,train
2025-02-11,0.09055543548735683,0.09531115640940326,0.1043038411040666,0.00899268469466334,train
2025-02-12,0.09758203799654577,0.09537215279286466,0.10436196076298476,0.008989807970120087,train
2025-02-13,0.1048265460030166,0.0979838623797528,0.10697906667219333,0.008995204292440523,train
2025-02-14,0.08979328165374677,0.09150112626488843,0.1005865035452165,0.009085377280328074,train
2025-02-15,0.10279269602577873,0.09377213169782064,0.10236352677636588,0.008591395078545243,train
2025-02-16,0.10505419036377293,0.10385286445333707,0.11268839004027112,0.008835525586934049,train
2025-02-17,0.09838173829171579,0.10006961620086248,0.10947938472816143,0.009409768527298957,train
2025-02-18,0.0903543517824644,0.10238937083490894,0.11175290582080329,0.009363534985894354,train
2025-02-19,0.09462204640222388,0.1014523490305268,0.11060679751764387,0.009154448487117068,train
2025-02-20,0.1025531460314069,0.10200426053361605,0.11109665573095531,0.00909239519733927,train
2025-02-21,0.09464361929150661,0.09273591604987286,0.10192477299296127,0.009188856943088413,train
2025-02-22,0.10873041253597697,0.09538429331394054,0.10415702981610656,0.008772736502166017,train
2025-02-23,0.09157704184857843,0.1053751912340139,0.11447923437353086,0.009104043139516965,train
2025-02-24,0.08600319318786588,0.09857422196277828,0.10749647153556643,0.00892224957278815,train
2025-02-25,0.10868871636711688,0.09909471691137832,0.10778958050688713,0.008694863595508811,train
2025-02-26,0.11155971100722482,0.10089851041945443,0.11000936411204654,0.009110853692592112,train
2025-02-27,0.10135852260666525,0.1043893801468799,0.11372053437143448,0.009331154224554581,train
2025-02-28,0.09525830062586188,0.09505636882754098,0.10434739946369821,0.009291030636157218,train
2025-03-01,0.10572640509013785,0.09717048067967063,0.10615742152763581,0.008986940847965174,train
2025-03-02,0.11616322204557498,0.1059725326628394,0.1151852655912525,0.00921273292841309,train
2025-03-03,0.10795635130840131,0.10463936419902323,0.11432633892350555,0.009686974724482334,train
2025-03-04,0.10660597078128309,0.11042143877324612,0.12014635698844639,0.009724918215200273,train
2025-03-05,0.10397715252803047,0.1091403134595403,0.11882401979566962,0.009683706336129307,train
2025-03-06,0.09776979177676778,0.10910794541534223,0.11868289862319553,0.009574953207853287,train
2025-03-07,0.08661666842716806,0.09904944497791403,0.1083319123219639,0.009282467344049887,train
