user_id,ll_personalized_poisson,ll_experimental_1_additive_hawkes,test_purchases
59,-14.687319241571945,-14.829463973575368,2.0
137,-5.774783782284581,-5.946869940365532,1.0
267,-2.9999202620151957,-3.076937968654648,0.0
306,-26.63875158266729,-26.197261193296477,6.0
341,-11.778165553171661,-12.188732132486805,2.0
418,-9.471951318181034,-8.157683531615536,2.0
801,-2.088772687414786,-2.7185759293736673,0.0
961,-3.911067836615605,-4.172118841680822,0.0
996,-44.55057546920792,-44.86938588832229,17.0
1042,-0.6250334561147853,-0.6421526051859595,0.0
1160,-26.550353115128022,-25.551820672616053,9.0
1267,-6.439775386085863,-6.443183207523638,1.0
1353,-1.7850568292146498,-3.0920659430774555,0.0
1378,-7.5379089290637165,-7.8386989157170985,1.0
1553,-32.598627536875796,-32.99809192239682,13.0
1748,-23.877590651471593,-23.87549118682858,7.0
1881,-1.4885543858120807,-1.5840055236342396,0.0
1887,-17.68887449928371,-17.77927327688473,5.0
1933,-26.213978311673323,-25.8869155492659,8.0
2209,-8.63400447097368,-8.651317029031771,2.0
2232,-44.16006410991499,-44.707059482902125,16.0
2249,-5.8609970023514695,-5.995993039765102,1.0
2293,-16.929521109861703,-16.888763953081,6.0
2340,-4.969887973140411,-5.056469535600398,1.0
2596,-22.73923454650528,-22.341656191198002,4.0
2647,-28.638014556680233,-28.913678631615426,9.0
2740,-4.874564710645547,-4.946494153545833,1.0
2807,-8.861711304089756,-9.016103625552255,1.0
2812,-11.9321917419481,-12.23755023580413,3.0
2873,-4.2147836948157416,-4.489792726193654,0.0
3001,-124.43414258936586,-120.66392845459326,85.0
3042,-7.630290971663316,-7.859877084074739,1.0
3325,-14.51324223772237,-13.628898224192271,4.0
3367,-15.819124878463025,-14.900247407206894,3.0
3485,-29.520517462429126,-28.607414673357074,9.0
3552,-3.607351978415468,-3.86971105558063,0.0
3631,-2.3924885456149223,-2.498276636400952,0.0
3733,-16.68064730925622,-17.027416651495567,4.0
3761,-2.3924885456149223,-2.560547824577914,0.0
3774,-2.797533821828502,-2.833757631164379,0.0
3883,-8.818588366347269,-8.85704423957904,2.0
3896,-28.165199583359534,-27.78593370987139,8.0
3905,-24.353507360308427,-24.786137862746944,4.0
3952,-27.143442819804175,-27.34782162683986,8.0
3955,-17.42636336177284,-15.66037003807944,4.0
3956,-21.921513250965788,-21.355188446456033,7.0
3979,-5.988400958606176,-6.08527612538501,1.0
4073,-22.485901735724973,-22.249443764404234,6.0
4344,-2.9999202620151957,-3.1820882552130056,0.0
4453,-5.277973242871076,-5.448867683824948,1.0
4650,-28.56507576878199,-26.906673990867706,7.0
4711,-39.259679225078074,-39.31440674867211,17.0
4730,-101.8603591529457,-97.94192061907778,32.0
4753,-12.389515549309428,-12.811053296621678,3.0
4892,-11.669179003334765,-11.824970088610588,3.0
5010,-40.53520015067958,-40.77690828311641,17.0
5020,-30.2030412718843,-29.149415270251826,10.0
5043,-12.630130779639513,-13.104440751081407,3.0
5120,-6.5210370084587606,-6.668070555349057,1.0
5331,-19.400186661301863,-19.377665794459617,5.0
