lambda_l2,target,source,alpha,lam_u_mean,mean_baseline_train,mean_hawkes_train,hawkes_train_nll,hawkes_test_nll,delta_train,delta_test
0.0,searches,searches,0.13329538430197013,0.713262834636657,0.8615692604851888,0.3392053455284357,1.8586735462730666,2.094173435312937,-0.053328233499415845,-0.157751106639628
0.0,searches,to_cart,0.02491622799025933,0.713262834636657,0.8615692604851888,0.3392053455284357,1.8586735462730666,2.094173435312937,-0.053328233499415845,-0.157751106639628
0.0,searches,to_ord,0.0,0.713262834636657,0.8615692604851888,0.3392053455284357,1.8586735462730666,2.094173435312937,-0.053328233499415845,-0.157751106639628
0.0,to_cart,searches,0.014623820904358643,0.7297309810749315,0.27398180848531806,0.09557831089360921,0.8339324813420228,0.9855386712698044,-0.011118866119142035,-0.04661017208323681
0.0,to_cart,to_cart,0.08076470487455797,0.7297309810749315,0.27398180848531806,0.09557831089360921,0.8339324813420228,0.9855386712698044,-0.011118866119142035,-0.04661017208323681
0.0,to_cart,to_ord,0.0,0.7297309810749315,0.27398180848531806,0.09557831089360921,0.8339324813420228,0.9855386712698044,-0.011118866119142035,-0.04661017208323681
0.0,to_ord,searches,0.005152022966490022,0.7403982436934567,0.07610469441386784,0.022795434943444902,0.3157953474334103,0.40062092164557794,-0.0004358581785693927,-0.008967150703148186
0.0,to_ord,to_cart,0.005567361564102495,0.7403982436934567,0.07610469441386784,0.022795434943444902,0.3157953474334103,0.40062092164557794,-0.0004358581785693927,-0.008967150703148186
0.0,to_ord,to_ord,0.030492965824986208,0.7403982436934567,0.07610469441386784,0.022795434943444902,0.3157953474334103,0.40062092164557794,-0.0004358581785693927,-0.008967150703148186
0.01,searches,searches,0.1343861885554903,0.7138291902991158,0.8627394309734105,0.3416582466920875,1.859090845953618,2.09417765865152,-0.05291093381886447,-0.1577468833010447
0.01,searches,to_cart,0.024688366901963587,0.7138291902991158,0.8627394309734105,0.3416582466920875,1.859090845953618,2.09417765865152,-0.05291093381886447,-0.1577468833010447
0.01,searches,to_ord,0.0,0.7138291902991158,0.8627394309734105,0.3416582466920875,1.859090845953618,2.09417765865152,-0.05291093381886447,-0.1577468833010447
