,searches,to_cart,to_ord
searches,0.00422229558169964,0.003505316571768866,0.0
to_cart,0.0017612217520750445,0.0031533011232939743,0.0
to_ord,0.0005755028902249791,0.0006568321250679117,0.003034383780026888
