alpha_l2,scale_l2,test_mean_poisson_nll,learned_c,alpha_norm,fit_seconds
0.0,0.0,0.39580338382556873,0.8261345702634322,0.016088364356942813,3.020622730255127
0.0,0.1,0.39580568412431405,0.8261863297955038,0.016075423146417623,3.0216338634490967
0.0,1.0,0.395804097667319,0.8261162252672092,0.016077453085720866,3.556321859359741
0.0,10.0,0.3958018604040415,0.826170381305958,0.01610049296334642,3.2444863319396973
0.0,100.0,0.3958067813007071,0.8263921744467019,0.016090666052145385,2.6497161388397217
