n_days,model,n_runs,mean_nll,median_nll,std_nll,min_nll,max_nll
27,Joint Hawkes (λ_u + α),30,0.40072660070450666,0.40624283386275856,0.04978844366239347,0.3159104664870823,0.4762688496276934
27,Pooled Hawkes (c·b_t + α^T s),30,0.36922727268607974,0.36182435411441327,0.031000439056900912,0.3099286060602969,0.4209665017404435
27,GBDT (experimental),30,0.35821161557944586,0.3492256160279231,0.030804183199075803,0.3040157860150765,0.4242794262473543
36,Global Poisson,25,0.4081230438422707,0.4040763006518483,0.03216905895260619,0.3581214360096401,0.4699436298991826
36,Rolling Poisson,25,0.408133457283131,0.4040099573951783,0.032250426810757175,0.3579101119245792,0.4699281225173606
36,Rolling Seasonal,25,0.4082900656622992,0.4041429587544949,0.032627489487405494,0.3578042512197988,0.472655111906925
36,Personalized Gamma-Poisson,25,0.36830590511605443,0.3658862268242325,0.032620565273309116,0.3169236787270752,0.431863128434737
36,Scaled-baseline Hawkes,25,0.3683059048176419,0.3658862267870019,0.032620565319459144,0.3169236787878922,0.4318631275913374
36,Joint Hawkes (λ_u + α),25,0.3894175897760235,0.3845135009985409,0.030920818359809723,0.3384061006984524,0.4552712314944534
36,Pooled Hawkes (c·b_t + α^T s),25,0.35974370075297896,0.3564429849093639,0.03152383202500186,0.3106171083480313,0.4257052108354995
36,GBDT (experimental),25,0.3482537568974802,0.3425797663109616,0.03199494811935615,0.302048183062299,0.4217778515207226
48,Global Poisson,20,0.4048257526440757,0.4023703062912525,0.026816114668375874,0.3681605353830038,0.4566204076528869
48,Rolling Poisson,20,0.4048209534924608,0.4023202447102898,0.026875384744829037,0.3681813163936999,0.4563264583450817
48,Rolling Seasonal,20,0.40479547942486366,0.40233923818801093,0.026967476544725474,0.3681038393428666,0.4565983032203033
48,Personalized Gamma-Poisson,20,0.3613823879909522,0.3596064645964362,0.02829234979203792,0.3230214197638089,0.4120842476662695
48,Scaled-baseline Hawkes,20,0.36138238801968336,0.3596064645754625,0.028292349969692186,0.3230214201132773,0.4120842477778035
48,Joint Hawkes (λ_u + α),20,0.3727920343138118,0.37245881060955166,0.026778419099797623,0.3334010130047667,0.4220292050172282
48,Pooled Hawkes (c·b_t + α^T s),20,0.3557479402576949,0.35478936698892793,0.026093351920164227,0.3192619706931153,0.4025136354349498
48,GBDT (experimental),20,0.34320019552766956,0.34160765415169625,0.025000812281924602,0.3082004607727395,0.3890685918063303
63,Global Poisson,18,0.41647494705018917,0.4128729798890481,0.03223834981434511,0.3679725376913101,0.4844925813270654
63,Rolling Poisson,18,0.4164433272349475,0.412724471633378,0.0321770435470934,0.3679957967347818,0.4831543034341998
63,Rolling Seasonal,18,0.41644730335802344,0.4127724180263127,0.03226130283189119,0.3679028612934661,0.4836080069481944
63,Personalized Gamma-Poisson,18,0.3727861587331582,0.3721646778946587,0.03343876706014562,0.3204153907891594,0.4406513548384403
63,Scaled-baseline Hawkes,18,0.37179804057594873,0.3708456302180409,0.03291780244889566,0.3201081922572339,0.4396110008451085
