interval_start,train_end,test_start,test_end,test_rows,Global Poisson,Rolling Poisson,Rolling Seasonal,Personalized Gamma-Poisson,Scaled-baseline Hawkes,Scaled-baseline Hawkes_alpha_norm,Scaled-baseline Hawkes_c,Scaled-baseline Hawkes_m_u_mean,Joint Hawkes (λ_u + α),Joint Hawkes (λ_u + α)_alpha_norm,Joint Hawkes (λ_u + α)_m_u_mean,Joint Hawkes (λ_u + α)_lambda_median,Pooled Hawkes (c·b_t + α^T s),Pooled Hawkes (c·b_t + α^T s)_alpha_norm,Pooled Hawkes (c·b_t + α^T s)_c,Pooled Hawkes (c·b_t + α^T s)_m_u_mean,GBDT (experimental),n_days,m_idx
2025-04-04,2025-04-13,2025-04-14,2025-04-18,48308,0.3778095235645735,0.3777608872474108,0.378087139347018,0.3562661687804285,0.35626616905064795,0.0,0.9999999495127697,1.0043327799345436,0.34041669740287206,0.0587725527931914,0.7700934176105082,0.5241889290041027,0.3348163498342333,0.08890557201129125,0.29528398605482437,0.29528398605482437,0.32218905447970836,15,10
2025-04-07,2025-04-16,2025-04-17,2025-04-21,48366,0.3691979569756915,0.3692894131654492,0.36943874413035704,0.3433076456075205,0.3433076453431504,0.0,0.9999999730469563,1.0248809846128093,0.3331337610460763,0.05757221329234512,0.7804115354692582,0.5279520219280937,0.32589913033177365,0.07963921074673015,0.3299600177437061,0.3299600177437061,0.3151149976683882,15,11
2025-04-17,2025-04-26,2025-04-27,2025-05-01,48576,0.3923276545615825,0.39224612427462574,0.3923103215736936,0.36156236432244043,0.36156236432245437,0.0,0.9999999986817671,0.9973505958234166,0.3476220018106932,0.057089407222922155,0.7617151495248243,0.5064903650263344,0.34090284370877144,0.07891260776145523,0.2831380603202593,0.2831380603202593,0.3322125579734127,15,12
2025-04-21,2025-04-30,2025-05-01,2025-05-05,48663,0.3679453476971762,0.3679414456535679,0.36793060818647494,0.3372487466588595,0.3372487465357802,0.0,0.9999999574498972,1.0196533445115015,0.32544003541461497,0.05934517146974967,0.7641617038566689,0.5039552619722429,0.31929867846597926,0.08107380278112897,0.2821715727599415,0.2821715727599415,0.3094127826256072,15,13
2025-04-28,2025-05-07,2025-05-08,2025-05-12,48755,0.3541997162043788,0.35401935888083835,0.35381366441192924,0.32027024897253914,0.32027024897251344,0.0,0.9999999998962353,0.9878665014881423,0.30983196829275383,0.05730428076650457,0.7573766627299514,0.502231433989763,0.3032007448049798,0.08216301202863878,0.2711678870764112,0.2711678870764112,0.2961720835395457,15,14
2025-05-02,2025-05-11,2025-05-12,2025-05-16,48839,0.3874500512096612,0.3874693244627464,0.38783256521258247,0.3630593422551091,0.36305934241768917,0.0,0.9999999875709795,0.9506389320235045,0.344070086412936,0.054747682341122594,0.7490629357264943,0.5049444427580468,0.3385890709779788,0.08189188829336563,0.2532929274950581,0.2532929274950581,0.3258073505616493,15,15
2025-05-09,2025-05-18,2025-05-19,2025-05-23,48921,0.39822976203823457,0.3980635881342746,0.3989152362061981,0.37138760580488295,0.3713876009697687,0.0,0.9999994165345284,1.0392883041454273,0.3536923194242085,0.06143773663471316,0.7753001568353552,0.5216766403990486,0.3453487905766053,0.08499746213971297,0.31219662789088587,0.31219662789088587,0.3375427728015327,15,16
2025-05-12,2025-05-21,2025-05-22,2025-05-26,48979,0.38678637852148584,0.3868500687618774,0.38715770162901625,0.3577293337498076,0.3577293338010031,0.0,1.0000000031129774,1.0773660330918382,0.34396557543187695,0.06171578166341512,0.7809399623303862,0.5112368307461196,0.3365016510001899,0.08317551105563188,0.33718502220420454,0.33718502220420454,0.32236668260490053,15,17
2025-05-15,2025-05-24,2025-05-25,2025-05-29,49015,0.420702440148144,0.42074481378229245,0.4205949500481149,0.38756564883318645,0.38756564877723426,0.0,0.9999999595989368,1.0222868356346995,0.3732619991103349,0.05711427868381467,0.7563095771995344,0.47918724043566213,0.3663209443586707,0.08030306552380742,0.29995412702335295,0.29995412702335295,0.35450646213910236,15,18
2025-05-26,2025-06-04,2025-06-05,2025-06-09,49124,0.39394851722802027,0.3939495609932796,0.3936240160648002,0.3600064188994347,0.3600064188896951,0.0,1.0000000024107645,0.9980203775353749,0.3471761317762409,0.05671876148033399,0.7523697480434673,0.47892317615072033,0.34117303280501593,0.0784250531052398,0.28595506217009964,0.28595506217009964,0.33157066952763015,15,19
2025-05-31,2025-06-09,2025-06-10,2025-06-14,49162,0.39402438663825784,0.39394244266577116,0.3943225237054982,0.38666950553351837,0.38666950557298313,0.0,0.9999999733278452,0.9843095530610771,0.3645061340193545,0.055209546860744176,0.7503556157936841,0.48025545598942837,0.3582580965969592,0.07872969601212783,0.28300066501813487,0.28300066501813487,0.34948025473595845,15,20
2025-06-04,2025-06-13,2025-06-14,2025-06-18,49194,0.40601440762295177,0.40597307143794714,0.40608003439826135,0.3871022494247852,0.38710224886981703,0.0,1.0000001681338093,1.0134824508355693,0.3706875555061516,0.051892523018403754,0.7621721021579096,0.4797218694993061,0.36230667284974943,0.07451094653877983,0.31663377833946954,0.31663377833946954,0.35103289690010914,15,21
