setting_label,n,mean_nll,median_nll,mean_delta,mean_c,median_c,mean_alpha_norm,median_alpha_norm,degenerate_share
"A: default (1e-4, 10.0)",5,0.3559651565712917,0.3450301416391918,-0.0007239413361830871,0.9931516141079365,0.9964538943538122,0.0006857355960082402,0.000489657728390153,0.4
"B: alpha_l2=0, scale_l2=10.0",5,0.3559651565731275,0.3450301416391927,-0.0007239413343473223,0.993151614125279,0.9964538943543385,0.0006857356141012601,0.000489657728449337,0.4
"C: alpha_l2=1e-4, scale_l2=0.1",5,0.3559650230723176,0.3450301196285025,-0.0007240748351572512,0.9931464933607881,0.9964650714735757,0.0006850309307899689,0.0004906765233008157,0.4
"D: alpha_l2=1e-4, scale_l2=0.0",5,0.3559650233084115,0.3450301407966963,-0.000724074599063329,0.9931481176053198,0.9964650607649164,0.0006849198936743162,0.0004906768467788379,0.4
E: no regularization,5,0.3559650233084611,0.34503014079673444,-0.0007240745990137575,0.9931481175940527,0.9964650607646047,0.0006849198878466597,0.0004906768467945857,0.4
"F: warm-start from ch.6, no reg",5,0.35596582394062615,0.3450301578384773,-0.0007232739668487032,0.9931437650305949,0.9964647538879877,0.0006815793221792715,0.0004906596797413116,0.4
