event_date,to_ord,rolling_prediction,split
2025-01-15,0.09952153110047847,0.10513263964791981,train
2025-01-16,0.11199148533585619,0.10299020410308062,train
2025-01-17,0.08916227299355595,0.10374104288027172,train
2025-01-18,0.09186046511627907,0.10033426634537057,train
2025-01-19,0.09551274656823162,0.09874811481400096,train
2025-01-20,0.08030285648732362,0.09795114424365478,train
2025-01-21,0.08255309431377027,0.09449133735362114,train
2025-01-22,0.09361508748011815,0.09298635027364219,train
2025-01-23,0.08086070215175538,0.0921425726135907,train
2025-01-24,0.08502710027100271,0.08769531787300487,train
2025-01-25,0.08890389376547378,0.08710457891264012,train
2025-01-26,0.10057181298351833,0.08668221157681079,train
2025-01-27,0.08232662192393736,0.08740493535042318,train
2025-01-28,0.08576845862145885,0.08769404469851086,train
2025-01-29,0.08314806580702534,0.08815338245675207,train
2025-01-30,0.09010306993239499,0.08665809364631025,train
2025-01-31,0.07448810182623132,0.08797843190068734,train
2025-02-01,0.09474381625441695,0.08647286069429143,train
2025-02-02,0.08392994823218417,0.08730713533556902,train
2025-02-03,0.08491706030978798,0.08492972608537842,train
2025-02-04,0.08455801710901513,0.08529978871192852,train
2025-02-05,0.08592381786339755,0.08512686849586512,train
2025-02-06,0.08925259138025095,0.0855234045039183,train
2025-02-07,0.087070091423596,0.08540190756789771,train
2025-02-08,0.0951346655082537,0.08719933465323552,train
2025-02-09,0.09790740539954462,0.08725517026092648,train
2025-02-10,0.09883091578263693,0.0892519498562637,train
2025-02-11,0.09055543548735683,0.09123964349524212,train
2025-02-12,0.09758203799654577,0.09209641754929095,train
2025-02-13,0.1048265460030166,0.09376187756831211,train
2025-02-14,0.08979328165374677,0.09598672822870721,train
2025-02-15,0.10279269602577873,0.09637575540444301,train
2025-02-16,0.10505419036377293,0.09746975976408946,train
2025-02-17,0.09838173829171579,0.09849072904469351,train
2025-02-18,0.0903543517824644,0.09842656083170478,train
2025-02-19,0.09462204640222388,0.0983978345881487,train
2025-02-20,0.1025531460314069,0.09797497864610273,train
2025-02-21,0.09464361929150661,0.09765020722158704,train
2025-02-22,0.10873041253597697,0.0983431125984099,train
2025-02-23,0.09157704184857843,0.09919135781415249,train
2025-02-24,0.08600319318786588,0.09726605088341042,train
2025-02-25,0.10868871636711688,0.09549768729714614,train
2025-02-26,0.11155971100722482,0.0981168822378108,train
2025-02-27,0.10135852260666525,0.10053654860995377,train
2025-02-28,0.09525830062586188,0.10036588812070499,train
2025-03-01,0.10572640509013785,0.10045369973989858,train
2025-03-02,0.11616322204557498,0.10002455581906443,train
2025-03-03,0.10795635130840131,0.10353686727577822,train
2025-03-04,0.10660597078128309,0.106673032721569,train
2025-03-05,0.10397715252803047,0.10637549763787844,train
2025-03-06,0.09776979177676778,0.10529227499799354,train
2025-03-07,0.08661666842716806,0.10477959916515105,train
2025-03-08,0.07771090697919966,0.10354508027962336,train
2025-03-09,0.10380841860955797,0.09954286626377505,train
2025-03-10,0.11125171359274491,0.09777789434434404,train
2025-03-11,0.09109119662625198,0.09824866038496458,train
2025-03-12,0.1000842815002107,0.09603226407710297,train
2025-03-13,0.10002105706464519,0.0954761396445573,train
2025-03-14,0.11021052631578947,0.09579774897139692,train
2025-03-15,0.11748001682793437,0.09916830009834285,train
2025-03-16,0.11359815048339639,0.10484960150530495,train
2025-03-17,0.09343832020997375,0.106248134630139,train
2025-03-18,0.09885612341274005,0.10370336414688598,train
