target,source,anchor_pin_val,pg_test_nll,min_test_nll,argmin_alpha,gain_over_pg,threshold,alpha_lo,alpha_hi,alpha_mid,width,interval_status
searches,searches,0.13068969061496294,2.251924541952565,2.0852872219955554,0.209104,0.16663731995700948,2.101950953991256,0.11541780905085022,0.261379,0.1883984045254251,0.14596119094914975,ok
searches,to_cart,0.0279195445951976,2.251924541952565,2.0967241520556676,0.03,0.15520038989689722,2.1122441910453573,0.0,0.1,0.05,0.1,ok
searches,to_ord,0.0,2.251924541952565,2.096737233878534,0.0,0.15518730807403092,2.112255964685937,0.0,0.1,0.05,0.1,ok
to_cart,searches,0.016102908358572865,1.0321488433530412,0.9870559298567633,0.02,0.045092913496277975,0.991565221206391,0.0023789506168273777,0.048214567595414565,0.02529675910612097,0.045835616978587186,ok
to_cart,to_cart,0.07164429210292993,1.0321488433530412,0.9843116509401654,0.114631,0.04783719241287587,0.989095370181453,0.047405399134378474,0.143289,0.09534719956718923,0.09588360086562153,ok
to_cart,to_ord,0.0,1.0321488433530412,0.9872841464189352,0.0,0.044864696934105996,0.9917706161123458,0.0,0.1,0.05,0.1,ok
to_ord,searches,0.00534843770241596,0.40958807234872613,0.4007962620017345,0.01,0.008791810346991613,0.40167544303643365,0.007974188926592959,0.013934059853360138,0.010954124389976548,0.005959870926767179,ok
to_ord,to_cart,0.00539009875020842,0.40958807234872613,0.4009358749954221,0.01,0.008652197353304025,0.4018010947307525,0.0,0.0280450371039845,0.01402251855199225,0.0280450371039845,ok
to_ord,to_ord,0.02018050256840689,0.40958807234872613,0.4006987126458036,0.04,0.008889359702922539,0.40158764861609586,0.017076523781607778,0.09988773957441639,0.058482131678012084,0.08281121579280862,ok
