event_date,to_ord,personalized_poisson_prediction,gbdt_prediction,split
2025-01-15,0.09952153110047847,0.11420021667300956,0.09076065493745106,train
2025-01-16,0.11199148533585619,0.11249652756060698,0.09057362770403707,train
2025-01-17,0.08916227299355595,0.10300782975301244,0.09048246820248163,train
2025-01-18,0.09186046511627907,0.10139202185599605,0.08882034734143296,train
2025-01-19,0.09551274656823162,0.10892288439530898,0.09239037340111493,train
2025-01-20,0.08030285648732362,0.10277328792287269,0.08902382099039581,train
2025-01-21,0.08255309431377027,0.10136342003828847,0.08902502716388999,train
2025-01-22,0.09361508748011815,0.09864129175614889,0.08937022129813116,train
2025-01-23,0.08086070215175538,0.09854787866151314,0.08901015464648371,train
2025-01-24,0.08502710027100271,0.08545152223424098,0.08757134239103541,train
2025-01-25,0.08890389376547378,0.08652949948597753,0.08722227186473964,train
2025-01-26,0.10057181298351833,0.09429749473218847,0.09057876175668149,train
2025-01-27,0.08232662192393736,0.09059810129185188,0.08805240251606007,train
2025-01-28,0.08576845862145885,0.09297484781880272,0.08868046928890072,train
2025-01-29,0.08314806580702534,0.09249345038459755,0.08802193721945406,train
2025-01-30,0.09010306993239499,0.09172717834256593,0.08875395098602175,train
2025-01-31,0.07448810182623132,0.08490697242667793,0.087932710787343,train
2025-02-01,0.09474381625441695,0.08513862228029778,0.08764775656191512,train
2025-02-02,0.08392994823218417,0.0940789236382754,0.09221877397096007,train
2025-02-03,0.08491706030978798,0.0871578133043551,0.08920987988974796,train
2025-02-04,0.08455801710901513,0.08959141025281893,0.0899689203844305,train
2025-02-05,0.08592381786339755,0.08857115274962161,0.08850134633721946,train
2025-02-06,0.08925259138025095,0.08974991184104673,0.08917153986993155,train
2025-02-07,0.087070091423596,0.08171396498663096,0.08906289616232375,train
2025-02-08,0.0951346655082537,0.08512945277390918,0.08935834585215915,train
2025-02-09,0.09790740539954462,0.09327113650159154,0.09380305003891459,train
2025-02-10,0.09883091578263693,0.09104915806780314,0.09159044812567022,train
2025-02-11,0.09055543548735683,0.09531115640940326,0.09234995386222115,train
2025-02-12,0.09758203799654577,0.09537215279286466,0.09274476623241185,train
2025-02-13,0.1048265460030166,0.0979838623797528,0.09339435624420611,train
2025-02-14,0.08979328165374677,0.09150112626488843,0.09285787822977501,train
2025-02-15,0.10279269602577873,0.09377213169782064,0.09215272347683151,train
2025-02-16,0.10505419036377293,0.10385286445333707,0.0964348905144267,train
2025-02-17,0.09838173829171579,0.10006961620086248,0.09569863257866619,train
2025-02-18,0.0903543517824644,0.10238937083490894,0.09567694645397014,train
2025-02-19,0.09462204640222388,0.1014523490305268,0.09539294770317785,train
2025-02-20,0.1025531460314069,0.10200426053361605,0.0960569182596589,train
2025-02-21,0.09464361929150661,0.09273591604987286,0.09551692421785574,train
2025-02-22,0.10873041253597697,0.09538429331394054,0.09463548874696591,train
2025-02-23,0.09157704184857843,0.1053751912340139,0.09891495955134397,train
2025-02-24,0.08600319318786588,0.09857422196277828,0.09581484290775531,train
2025-02-25,0.10868871636711688,0.09909471691137832,0.0959824857579224,train
2025-02-26,0.11155971100722482,0.10089851041945443,0.09621414411237059,train
2025-02-27,0.10135852260666525,0.1043893801468799,0.09862484823792106,train
2025-02-28,0.09525830062586188,0.09505636882754098,0.09650721369716099,train
2025-03-01,0.10572640509013785,0.09717048067967063,0.09586964170154208,train
2025-03-02,0.11616322204557498,0.1059725326628394,0.10112488958104253,train
2025-03-03,0.10795635130840131,0.10463936419902323,0.09924134925431094,train
2025-03-04,0.10660597078128309,0.11042143877324612,0.09907704776649208,train
2025-03-05,0.10397715252803047,0.1091403134595403,0.09936843864079416,train
2025-03-06,0.09776979177676778,0.10910794541534223,0.10053172002916297,train
2025-03-07,0.08661666842716806,0.09904944497791403,0.09896293666909549,train
2025-03-08,0.07771090697919966,0.09994306878425611,0.09650411087676661,train
2025-03-09,0.10380841860955797,0.10523335411788258,0.10188518528562324,train
2025-03-10,0.11125171359274491,0.09859873081195834,0.09856373775159016,train
2025-03-11,0.09109119662625198,0.1015001780997833,0.09797301928315734,train
2025-03-12,0.1000842815002107,0.09833305099096865,0.0980237799027364,train
2025-03-13,0.10002105706464519,0.09871528043407335,0.0993934461808328,train
2025-03-14,0.11021052631578947,0.09036556209202273,0.09691528793363655,train
2025-03-15,0.11748001682793437,0.09551151554598131,0.09881892510897938,train
2025-03-16,0.11359815048339639,0.11061686138255354,0.10328119212507682,train
2025-03-17,0.09343832020997375,0.10690426997556907,0.10124350226615723,train
2025-03-18,0.09885612341274005,0.10684191656792356,0.09960195369698713,train
2025-03-19,0.10339765100671142,0.10702642328600548,0.10075872381484648,train
2025-03-20,0.10093281626663872,0.10856200154718253,0.09984269268232705,train
2025-03-21,0.08830923947203018,0.09914632057986796,0.09980901377252643,train
2025-03-22,0.10438697518584442,0.0982947091817368,0.09738850435541782,train
2025-03-23,0.10461345329009311,0.10569202002395213,0.10248254759892166,train
2025-03-24,0.09468073988922562,0.09952982879170717,0.1019788762076969,train
2025-03-25,0.09912262377271777,0.10212004223700866,0.10086805862598999,train
2025-03-26,0.0846466965869951,0.10125320235315767,0.1012261220285015,train
2025-03-27,0.08692476260043827,0.09951912815358936,0.10180609984145515,train
2025-03-28,0.082186065915728,0.08889212168374319,0.09905894101980998,train
2025-03-29,0.09008445417578981,0.08993749533115507,0.09697817016719752,train
2025-03-30,0.10757844261440634,0.09638485901354965,0.1020276518179891,train
2025-03-31,0.08995205336668752,0.09238429634606148,0.09986364517992989,train
2025-04-01,0.10741821212752657,0.09392401093324645,0.09972422193867474,train
2025-04-02,0.09726127251900447,0.09432102598223104,0.09935289333789481,train
2025-04-03,0.09346378018318069,0.09709298796291577,0.09925069233116429,train
2025-04-04,0.08365414629070857,0.08946524914432369,0.0982901816175039,train
2025-04-05,0.09852267998335414,0.09158391629379321,0.09653149363181593,train
2025-04-06,0.10397171969224371,0.10157253161130375,0.10265234743514462,train
