window_idx,start,target,source,alpha,c
0,2025-01-31,searches,searches,0.07424229755303137,0.8417474750137733
0,2025-01-31,searches,to_cart,0.017120414633232797,0.8417474750137733
0,2025-01-31,searches,to_ord,0.0,0.8417474750137733
0,2025-01-31,to_cart,searches,0.004940240877279263,0.8992381352466714
0,2025-01-31,to_cart,to_cart,0.034154748261981636,0.8992381352466714
0,2025-01-31,to_cart,to_ord,0.0,0.8992381352466714
0,2025-01-31,to_ord,searches,0.0006633984347154278,0.965057544852416
0,2025-01-31,to_ord,to_cart,0.0025077689510889204,0.965057544852416
0,2025-01-31,to_ord,to_ord,0.0,0.965057544852416
1,2025-02-01,searches,searches,0.0730265622061609,0.844243976014655
1,2025-02-01,searches,to_cart,0.017006102220380747,0.844243976014655
1,2025-02-01,searches,to_ord,0.0,0.844243976014655
1,2025-02-01,to_cart,searches,0.0048482036249424135,0.9014542972343713
1,2025-02-01,to_cart,to_cart,0.033350993333971464,0.9014542972343713
1,2025-02-01,to_cart,to_ord,0.0,0.9014542972343713
1,2025-02-01,to_ord,searches,0.0006191198269682492,0.9670272929930973
1,2025-02-01,to_ord,to_cart,0.0023944022626651374,0.9670272929930973
1,2025-02-01,to_ord,to_ord,0.0,0.9670272929930973
2,2025-02-22,searches,searches,0.07626372439153874,0.8390290858780415
2,2025-02-22,searches,to_cart,0.014268887436014534,0.8390290858780415
2,2025-02-22,searches,to_ord,0.0,0.8390290858780415
2,2025-02-22,to_cart,searches,0.005070089927213725,0.9008159505447988
2,2025-02-22,to_cart,to_cart,0.03322027807740127,0.9008159505447988
2,2025-02-22,to_cart,to_ord,0.0,0.9008159505447988
2,2025-02-22,to_ord,searches,0.0006999081908242728,0.9672197770948211
2,2025-02-22,to_ord,to_cart,0.0021773123227917307,0.9672197770948211
2,2025-02-22,to_ord,to_ord,0.0,0.9672197770948211
3,2025-04-05,searches,searches,0.07525739625736008,0.8407229885563475
3,2025-04-05,searches,to_cart,0.014879595794737696,0.8407229885563475
3,2025-04-05,searches,to_ord,0.0,0.8407229885563475
3,2025-04-05,to_cart,searches,0.005273013818717293,0.9043765850394574
3,2025-04-05,to_cart,to_cart,0.0309710272423446,0.9043765850394574
3,2025-04-05,to_cart,to_ord,0.0,0.9043765850394574
3,2025-04-05,to_ord,searches,0.0007348103936456351,0.9682365058095578
3,2025-04-05,to_ord,to_cart,0.00202769862516402,0.9682365058095578
3,2025-04-05,to_ord,to_ord,0.0,0.9682365058095578
