,searches,to_cart,to_ord
searches,0.005760395011360907,0.0017147973557390208,0.0
to_cart,0.000999754131654614,0.0030255846864463095,0.0
to_ord,0.00040772658291114575,0.00048022664322043096,0.0022777093836708505
